Topic,Count,Name,Representation,Representative_Docs
-1,104171,-1_model_system_method_base,"['model', 'system', 'method', 'base', 'network', 'problem', 'time', 'result', 'propose', 'state']","['optimal experimental design large scale inverse problem multi pde constrain optimization accurate parameter dependent electro chemical numerical model lithium ion battery essential industrial application exact parameter battery cell unknown process estimation necessary infer parameter estimation generate accurate model able reproduce real cell datum field optimal input experimental design deal create experimental setting facilitate estimation problem apply different input design algorithm aim maximize observability true unknown parameter algorithm design apply current starting voltage let algorithm collect information different state charge require long experimental time s second algorithm generate continuous current compose concatenate optimal interval case experimental time short s numerical experiment virtual datum well accuracy result experiment real battery datum reveal accuracy decrease hundredfold design algorithm build independent model result motivation applicable complex battery cell model application', 'physics aware probabilistic model order reduction guarantee stability give small amount time series datum high dimensional fine grain multiscale dynamical system propose generative framework learn effective lower dimensional coarse grain dynamical model predictive fine grain system long term evolution behavior different initial condition target fine grain model arise physical application molecular dynamic agent base model dynamic strongly non stationary transition equilibrium govern unknown slow process largely inaccessible brute force simulation approach base domain knowledge heavily rely physical insight identify temporally slow feature fail enforce long term stability learn dynamic hand purely statistical framework lack interpretability rely large amount expensive simulation datum long multiple trajectory infuse domain knowledge generative framework propose achieve aforementioned desiderata employ flexible prior complex plane latent slow process intermediate layer physics motivate latent variable reduce reliance datum imbue inductive bias contrast exist scheme require priori definition projection operator fine grain description address simultaneously task dimensionality reduction model estimation demonstrate efficacy accuracy multiscale physical system particle dynamic probabilistic long term prediction phenomenon contain training datum produce', 'resource efficient adaptive bayesian tracking magnetic field quantum sensor single spin quantum sensor example base nitrogen vacancy centre diamond provide nanoscale mapping magnetic field application magnetic field change rapidly total sense time crucial minimise bayesian estimation adaptive experiment optimisation speed sense process reduce number measurement require protocol consist compute update probability distribution magnetic field base measurement outcome determine optimize acquisition setting measurement computational step feed measurement setting iteration perform quickly allow real time update article address issue computational speed implement approximate bayesian estimation technique probability distribution approximate finite sum gaussian function give parameter require fully describe gaussian density find case magnetic field probability distribution describe few parameter achieve reduction computation time factor compare exist approach micro second small decrease computation time achieve regime propose gaussian protocol outperform exist track accuracy']"
0,64035,0_mass_star_galaxy_ray,"['mass', 'star', 'galaxy', 'ray', 'field', 'energy', 'find', 'black', 'theory', 'emission']","['wisdom project xvii beam beam property molecular gas early type galaxy present study molecular gas seven early type galaxy high angular resolution datum obtain mm wave interferometric survey dark object mass wisdom project atacama large millimeter submillimeter array fix spatial scale approach study mass surface density velocity dispersion molecular gas spatial scale range give spatial resolution datum characterise property thousand individual sight line high physical resolution molecular gas sight line large range mass surface density velocity dispersion high star form spiral galaxy virial parameter depend weakly physical scale observe likely beam smearing bulk galactic rotation generally super virial compare internal turbulent pressure pressure require dynamic equilibrium ratio significantly unity galaxy indicate gas dynamic equilibrium strongly compress apparent contradiction virial parameter neglect shear tidal force combination dimensional vertical diagnostic anti correlate global star formation rate galaxy conclude molecular gas early type galaxy likely unbound large scale dynamic likely play critical role regulation contrast giant molecular cloud disc late type galaxy close dynamical equilibrium', 'non equilibrium evolution quantum field inflation late accelerate expansion understand mechanism lead inflation late acceleration universe important set quantum field evolve classical energy momentum tensor behave similar cosmological constant work consider toy model include scalar field different mass study formation light axion like condensate presume responsible inflation late accelerate expansion universe despite simplicity model reflect hierarchy mass coupling standard model candidate extension investigation perform framework non equilibrium quantum field theory consistently evolve flrw geometry discuss detail initial condition model define fully quantum setup multi component model interaction reduce number independent initial degree freedom numerical simulation model show fully consistent present cosmological observation choose range parameter find quantum interaction effective potential condensate dominant contributor energy density universe trigger inflation late accelerate expansion nonetheless despite small contribution energy density light scalar field condensate quasi free particle form crucial role control trend heavy field furthermore precision simulation find ir singularity inflation finding highlight uncertainty attempt extract information physics early universe naively compare prediction local effective classical model cosmological observation neglect inherently non local nature quantum process', 'high redshift galaxy kinematic constraint model disk formation integral field spectroscopy galaxy redshift reveal population early form rotationally support disk high redshift system provide potentially important clue formation process build disk galaxy universe particularly study example galaxy show genzel et al rotationally support disk despite fact high star formation rate short gas consumption timescale require rapid acquisition mass previous kinematical analysis suggest disk galaxy like form merger line sight velocity field display low level asymmetry perform kinematical analysis set simulate disk galaxy form gas rich merger type common high redshift remnant disk display low velocity field asymmetry satisfy criterion classify high redshift galaxy disk observationally compare remnant bulk property star formation rate gas surface density circular velocity velocity dispersion ratio match remarkably suggest observation high redshift disk galaxy like consistent hypothesis gas rich merger play important role disk formation high redshift']"
1,3709,1_estimator_regression_causal_treatment,"['estimator', 'regression', 'causal', 'treatment', 'estimation', 'inference', 'bayesian', 'method', 'matrix', 'estimate']","['unbiased estimation reciprocal mean non negative random variable simulation problem require estimation ratio expectation recent year monte carlo estimator propose estimate ratio bias investigate theoretical property estimator estimation z estimator form w w random variable probability mass function positive integer fixed optimal choice understand choice study property function expect time variance product decrease decrease cost construct estimator increase estimator asymptotically equivalent maximum likelihood biased ratio estimator establish practical confidence interval', 'exponential consistency m estimator generalize linear mixed model generalize linear mixed model powerful tool analyze cluster datum unknown parameter classically commonly estimate maximum likelihood restrict maximum likelihood procedure likelihood base procedure know highly sensitive outlier m estimator popular means obtain robust estimate possible datum contamination paper prove sufficiently smooth general loss function define m estimator generalize linear mixed model tail probability deviation estimate true regression coefficient exponential bind imply exponential rate consistency m estimator appropriate assumption generalize exist exponential consistency result univariate multivariate response illustrate theoretical result special example maximum likelihood estimator robust minimum density power divergence estimator popular example model base m estimator setting linear logistic mixed model compare empirical rate convergence simulation study', 'bayesian approach shrinkage sparse estimation area human knowledge dataset increase size complexity create need rich statistical model trend true economic datum high dimensional nonlinear nonparametric inference norm field apply econometric work purpose paper introduce reader world bayesian model determination survey modern shrinkage variable selection algorithm methodology bayesian inference natural probabilistic framework quantify uncertainty learn model parameter feature particularly important inference modern model high dimension increase complexity begin linear regression set order introduce class prior lead shrinkage sparse estimator comparable value popular penalize likelihood estimator ridge lasso explore method exact approximate inference discuss pro con finally explore prior develop simple regression setting extend straightforward way class interesting econometric model particular following case study consider demonstrate application bayesian shrinkage variable selection strategy popular econometric contexts vector autoregressive model ii factor model iii time vary parameter regression iv confounder selection treatment effect model v quantile regression model matlab package accompany technical manual allow reader replicate algorithm describe review']"
2,2883,2_robot_policy_reinforcement_learning,"['robot', 'policy', 'reinforcement', 'learning', 'rl', 'environment', 'agent', 'task', 'control', 'learn']","['model base approach sample efficient multi task reinforcement learning aim multi task reinforcement learning fold efficiently learn training multiple task quickly adapt limited sample variety new task work task correspond reward function environment similar dynamical model propose learn dynamical model training process use model perform sample efficient adaptation new task test time use significantly few sample perform policy optimization virtual environment transition give learn dynamical model algorithm sequentially train task encounter new task warm policy learn dynamical model require new sample environment adapt dynamical model sample policy real environment evaluate approach continuous control benchmark demonstrate efficacy maml state art meta learn algorithm task', 'bi manual manipulation attachment sim real reinforcement learning success robotic manipulation restrict single arm robot limit range solvable task pick place insertion object rearrangement contrast dual multi arm robot platform unlock rich diversity problem tackle laundry folding execute cooking skill develop controller multi arm robot complexifie number unique challenge need coordinated bimanual behavior collision avoidance robot give challenge work study solve bi manual task reinforcement learning rl train simulation result policy execute real robotic platform rl approach result significant simplification real time joint space control directly pass unfiltered observation neural network policy extensively discuss modification simulated environment lead effective training rl policy addition design control algorithm key challenge design fair evaluation task bi manual robot stress bimanual coordination remove orthogonal complicate factor high level perception work design connect task aim robot arm pick attach block magnetic connection point validate approach robot print block magnetic attachment find system success rate pick block success rate connect task', 'adversarial imitation learn random search develop agent perform challenge complex task goal reinforcement learning model free reinforcement learning consider feasible solution state art research develop increasingly complicate technique increase complexity make reconstruction difficult furthermore problem reward dependency exist result research imitation learning learn policy demonstration expert begin attract attention imitation learning directly learn policy base datum behavior expert explicit reward signal provide environment imitation learning try optimize policy base deep reinforcement learning trust region policy optimization result deep reinforcement learn base imitation learning pose crisis reproducibility issue complex model free model receive considerable critical attention derivative free optimization base reinforcement learning simplification policy obtain competitive performance dynamic complex task simplified policy derivative free method algorithm simple reconfiguration research demo easy paper propose imitation learning method take advantage derivative free optimization simple linear policy propose method perform simple random search parameter space policy show computational efficiency experiment paper propose model direct reward signal environment obtain competitive performance mujoco locomotion task']"
3,2809,3_liquid_polymer_droplet_particle,"['liquid', 'polymer', 'droplet', 'particle', 'fluid', 'shear', 'dynamic', 'water', 'surface', 'force']","['note stoke problem dense granular medium classical stoke problem describe fluid motion steadily move infinite wall revisit context dense granular flow mono disperse bead recently propose newtonian fluid molecular diffusion bring self similar velocity profile boundary layer fluid motion take place increase indefinitely time kinematic viscosity dense granular visco plastic liquid show local shear stress properly rescale exhibit self similar behaviour short time scale rapidly evolve steady state solution result shear layer increase thickness analogous newtonian fluid equivalent granular kinematic viscosity depend intrinsic property granular medium grain diameter density friction coefficient apply pressure move wall solid fraction constant addition indicate growth continue reach steady state boundary layer thickness g independent grain size finite time proportional g acceleration gravity relative surplus steady state wall shear stress critical wall shear stress yield stress need bring granular medium motion article complete abstract', 'anomalous crystalline ordering particle viscoelastic fluid high shear addition particle viscoelastic suspension dramatically alter property mixture particularly shear process shear induce stretching polymer result elastic stress cause substantial increase measure viscosity increase shear attractive interaction particle lead chaining high shear rate flow unstable absence particle instability make difficult determine property particle suspension use fully immerse parallel plate geometry measure high shear rate behavior suspension particle viscoelastic fluid find unexpected separation particle suspension result formation layer particle center cell remarkably monodisperse particle form crystalline layer dramatically alter shear instability combine measurement velocity field torque fluctuation solid layer disrupt flow instability introduce new single frequency component torque fluctuation reflect dominant velocity pattern flow result highlight interplay particle suspend viscoelastic fluid high shear rate', 'monte carlo simulation solid liquid transition hard sphere colloid polymer mixture monte carlo simulation constant pressure perform study coexistence interfacial property liquid solid transition hard sphere colloid polymer mixture system describe component asakura oosawa ao model polymer degree freedom incorporate attractive effective potential colloid colloid interaction consider ao model polymer reservoir packing fraction colloid polymer size ratio q sigma diameter polymer colloid respectively inhomogeneous solid liquid system prepare place solid fcc phase middle rectangular simulation box create interface adjoin bulk liquid analyze growth crystalline region pressure different system size coexistence pressure obtain yield hard sphere system ao model boltzmann constant t temperature order parameter introduce distinguish solid liquid phase describe interfacial property capillary wave broadening solid liquid interface interfacial stiffness obtain crystalline plane give value hard sphere system ao model']"
4,2803,4_language_llm_reasoning_task,"['language', 'llm', 'reasoning', 'task', 'translation', 'word', 'model', 'sentence', 'text', 'answer']","['pre training universal language representation despite develop cut edge representation learning language language representation model usually focus specific level linguistic unit work introduce universal language representation learning embedding different level linguistic unit text diverse length uniform vector space propose training objective misad utilize meaningful n gram extract large unlabeled corpus simple effective algorithm pre train language model empirically verify design pre training scheme effectively yield universal language representation bring great convenience handle multiple layer linguistic object unified way especially model achieve high accuracy analogy task different language level significantly improve performance downstream task glue benchmark question answer dataset', 'transferable modeling strategy low resource llm task prompt alignment base approach paper address limit transfer adaptation capability large language model low resource language scenario propose unified framework combine knowledge transfer module parameter efficient fine tuning strategy method introduce knowledge alignment loss soft prompt tuning guide model effectively absorb structural feature target language task minimal annotation enhance generalization performance training stability framework include lightweight adaptation module reduce computational cost training integrate freeze strategy prompt injection preserve model original knowledge enable quick adaptation new task study conduct stability analysis experiment synthetic pseudo data transfer experiment systematically evaluate method applicability robustness different low resource task experimental result compare exist multilingual pre train model mainstream transfer method propose approach achieve high performance stability cross lingual task mlqa xquad paws demonstrate particularly strong advantage extremely data scarce condition propose method offer strong generality scalability enhance task specific adaptability preserve general capability large language model make suited complex semantic modeling multilingual processing task', 'reasoning transfer extremely low resource endangered language bridge language sample efficient language understanding recent advance enable large language model llm tackle reasoning task generate chain thought cot rationale gain largely apply high resource language leave low resource language work investigate cot technique extremely low resource scenario previous prompting model editing fine tuning approach introduce english pivot cot training leverage insight llm internally operate latent space align dominant language give input low resource language perform supervise fine tuning generate cot english output final response target language mathematical reasoning benchmark approach outperform baseline improvement low resource scenario analysis additional experiment include mixed language cot stage training explicitly separate language understanding reasoning enhance cross lingual reasoning ability facilitate future work release benchmark mathematical task irish extremely low resource endangered language result resource highlight practical pathway multilingual reasoning extensive retraining extremely low resource language despite datum scarcity']"
5,2544,5_graph_vertex_edge_number,"['graph', 'vertex', 'edge', 'number', 'color', 'subgraph', 'set', 'problem', 'tree', 'cycle']","['detect induce subgraph graph graph kind edge edge edge s graph graph obtain subdivide subdivisible edge path arbitrary length give s graph study decision problem instance graph question contain realisation induced subgraph complexity know complexity np completeness proof rely np completeness proof follow problem let set graph integer let problem instance g x graph maximum degree d induced subgraph x y non adjacent vertex degree question contain induced cycle pass x result prove np complete simple criterion connected graph decide polynomial np complete polynomial case rely algorithm tree chudnovsky seymour', 'editing distance graph edge operation graph define deletion exist edge addition nonexisting edge give family graph editing distance small number edge operation need modify graph paper fix graph consider set graph vertex induced copy provide bound maximum graph editing distance invariant binary chromatic number graph asymptotically tight bound distance self complementary exact result small graph', 'color problem graph graph polynomial determine chromatic number graph graph polynomial time']"
6,2220,6_channel_mimo_antenna_wireless,"['channel', 'mimo', 'antenna', 'wireless', 'user', 'communication', 'relay', 'interference', 'network', 'ris']","['massive mimo duplex relaying optimal power allocation independent multipair help band duplex relay station possible simultaneously transmit receive signal multiple user performance system greatly increase relay station equip large number antenna transmitter receiver side paper exploit use massive array effectively suppress loopback interference li decode forward relay df evaluate performance end end transmission paper assume imperfect channel state information available relay design minimum mean square error mmse filter mitigate interference subsequently adopt zero force zf filter detection beamforming performance system evaluate term bit error rate ber relay destination optimal choice transmission power relay show propose complexity efficient optimal power allocation opa algorithm channel statistic compute minimum power satisfy rate constraint pair result obtain simulation mmse filtering opa method well value energy efficiency attain', 'antenna combine mimo downlink channel multiple antenna downlink channel limited channel feedback available transmitter consider vector downlink channel single antenna receiver transmit antenna array transmit separate data stream multiple receiver transmitter accurate channel knowledge high rate channel feedback receiver work show channel feedback requirement significantly reduce receiver small number antenna appropriately combine antenna output combining method minimize channel quantization error receiver minimize multi user interference propose analyze technique show outperform traditional technique maximum ratio combining minimization interference power critical maximization signal power multiple antenna downlink analysis provide quantify feedback saving technique see work user selection robust receiver estimation error', 'application analog network cod mimo way relay channel cellular system efficient analog network cod transmission protocol propose letter mimo way cellular network block signal alignment propose null inter user interference multi antenna user make dimension align space large compare exist signal alignment algorithm develop jointly design precode matrix relay bs outage optimization especially algorithm design maximize effective channel gain effective noise gain ratio performance transmission protocol verify simulation']"
7,2049,7_photon_atom_optical_cavity,"['photon', 'atom', 'optical', 'cavity', 'quantum', 'laser', 'state', 'mode', 'rydberg', 'frequency']","['momentum diffusion couple atom cavity oscillator show momentum diffusion free space laser cooling natural correspondence optical cavity internal state atom treat harmonic oscillator derive general expression momentum diffusion valid configuration interest atom cavity probe laser presence trap induce local atomic frequency shift show albeit possibly strong coupling atom cavity sufficient derive momentum diffusion consider atom couple mean cavity field give contribution cavity mode couple mean atomic dipole give second contribution contribution intuitive form present clear symmetry total diffusion sum contribution plus diffusion originate fluctuation force coupling vacuum mode cavity mode call spontaneous emission term example give help evaluate heating rate induce optical cavity experiment operate low atomic saturation point intriguing situation atom heat scatter light', 'single photon measure investigate efficiency atom cavity base photon generation scheme deliver single photon arbitrary temporal shape model apply raman transition level atom branch transition drive laser pulse couple cavity mode possible shape single photon wavepacket derive unambiguous analytic expression shape require drive laser pulse furthermore discuss constraint limit maximum probability emit desire photon use estimate upper bound efficiency process model valid vacuum stimulate raman adiabatic passage v stirap strong coupling bad cavity regime generally allow control coherence population flow raman process', 'enhance quantum nonlinearitie mode optomechanical system cavity optomechanic nanomechanical motion couple localized optical mode regime single photon strong coupling reach optical shift induce single phonon comparable cavity linewidth consider setup regime comprise optical mode mechanical mode mechanical frequency nearly resonant optical level splitting find photon phonon photon photon interaction significantly enhance addition dispersive phonon detection novel regime offer prospect optomechanical photon measurement study qnd detection process analytical numerical approach']"
8,1993,8_speech_audio_speaker_music,"['speech', 'audio', 'speaker', 'music', 'recognition', 'asr', 'sound', 'voice', 'acoustic', 'emotion']","['unsupervised rhythm voice conversion dysarthric healthy speech asr automatic speech recognition asr system known perform poorly dysarthric speech previous work address speak rate modification reduce mismatch typical speech unfortunately approach rely transcribed speech datum estimate speaking rate phoneme duration available unseen speaker combine unsupervised rhythm voice conversion method base self supervise speech representation map dysarthric typical speech evaluate output large asr model pre train healthy speech fine tuning find propose rhythm conversion especially improve performance speaker torgo corpus severe case dysarthria code audio sample available', 'decode emotion comprehensive multilingual study speech model speech emotion recognition recent advancement transformer base speech representation model greatly transform speech processing limit research conduct evaluate model speech emotion recognition ser multiple language examine internal representation article address gap present comprehensive benchmark ser speech representation model different language conduct probe experiment gain insight inner working model ser find feature single optimal layer speech model reduce error rate average seven dataset compare system feature layer speech model achieve state art result german persian language probe result indicate middle layer speech model capture important emotional information speech emotion recognition', 'train neural speech recognition system synthetic speech augmentation build accurate automatic speech recognition asr system require large dataset contain hour label speech sample produce diverse set speaker lack open free dataset main issue prevent advancement asr research address problem propose augment natural speech dataset synthetic speech train large end end neural speech recognition model librispeech dataset augment synthetic speech new model achieve state art word error rate wer character level base model external language model']"
