Topic,Count,Name,Representation,Representative_Docs
-1,420550,-1_system_model_result_space,"['system', 'model', 'result', 'space', 'field', 'theory', 'star', 'function', 'study', 'time']","['quartic quantum theory extension standard quantum mechanic propose extend quantum theory number k parameter necessary characterize quantum state behave fourth power number n distinguishable state simplex classical n point probability distribution embed inside high dimensional convex body mixed quantum state increase dimensionality construct set extend quantum state embed propose correspond assumption physical system describe n dimensional hilbert space couple auxiliary subsystem dimensionality extended theory work simple quantum system show non trivial generalisation standard quantum theory k impose certain restriction initial condition dynamic allow quartic theory obtain quadratic theory special case impose strong constraint arrive classical theory k', 'static fluctuation thick interface direct polymer formulation experimental realization interface exhibit finite microscopic width influence erase thermal fluctuation sufficiently high temperature turn crucial ingredient description interface fluctuation characteristic temperature exploit exact mapping static interface direct polymer dp grow continuous space study analytically free energy geometrical fluctuation dp finite temperature short range elasticity submit quench random bond gaussian disorder finite correlation length derive exact equation disorder free energy derivative t respective point correlator compute exact solution linearize evolution combine qualitative behavior asymptotic property know uncorrelated disorder construct toymodel lead simple description dp model characterize brownian like free energy fluctuation correlate small amplitude present extended scale analysis roughness predict high temperature low temperature identify connection temperature induce crossover replica symmetry breaking previous gaussian variational method computation finally discuss consequence low temperature regime experimental realization kpz interface static quasistatic behavior magnetic domain wall high velocity steady state dynamic interface liquid crystal', 'cold gas inner region intermediate redshift cluster determine gas content star formation rate know remarkable progress field galaxy investigate galaxy inside cluster present co observation luminous infrared galaxy lirg inside virial radius intermediate redshift cluster detect galaxy high significance sigma provide robust estimate co luminosity order result general context revisit relation cold hot gas stellar mass nearby field cluster galaxy find evidence fix lir fix stellar mass frequency high galaxy low cluster field suggest environmental depletion reservoir cold gas level star formation activity galaxy primarily link cold gas galaxy mass lookback time cluster field conversion gas star universal relation lir distant cluster galaxy extend relation nearby galaxy high ir luminosity intermediate redshift galaxy fall dispersion trend define local system consider generally derive line sensitive vast majority molecular gas cold interstellar medium galaxy actually form star suggest molecular gas strip star formation rate affect combine sample geach et al find evidence decrease co cluster center hint environmental impact cold gas intermediate redshift']"
0,9258,0_solar_plasma_coronal_magnetic,"['solar', 'plasma', 'coronal', 'magnetic', 'flare', 'cme', 'sunspot', 'reconnection', 'dynamo', 'mhd']","['mhd modeling coronal loop injection high speed chromospheric flow observation reveal correspondence chromospheric type ii spicule bright upwardly move front corona observe euv band theoretical consideration suggest flow unlikely main source heating coronal magnetic loop investigate propagation high speed chromospheric flow coronal magnetic flux tube possible production emission euv band simulate propagation dense k chromospheric jet upwards coronal loop mean d cylindrical mhd model include gravity radiative loss thermal conduction magnetic induction jet propagate complete atmosphere include chromosphere tenuous cool mk corona link steep transition region reference model jet initial speed km s initial density ambient uniform magnetic field explore value jet speed density d magnetic field d jet propagation hotter mk background loop initial speed jet allow reach loop apex hot shock develop ahead travel extreme loop shock compress coronal plasma heat result bright move visible channel sdo aia mission result generally apply explore case propagation hotter loop cool low density initial coronal loop post shock plasma ahead upward chromospheric flow explain observed correspondence type ii spicule euv emission excess', 'relationship solar energetic particle property flare cme statistical analysis solar cycle event statistical analysis relationship solar energetic particle sep property solar flare coronal mass ejection cme present sep event solar cycle select associate solar flare originate visible hemisphere sun magnitude take account flare cme occur period probability occurrence sep event near earth determine strong rise probability observe increase flare intensity western location large cme speed halo cme correlation proton peak flux solar parameter derive low mev high mev energy range exclude flux enhancement passage fast interplanetary shock obtain correlation coefficient flare intensity cme speed mev mev energy range correlation flare longitude cme width small non existent furthermore occurrence probability correlation coefficient mean peak flux derive multi dimensional bin combine aforementioned solar parameter correlation coefficient determined different proton energy channel range mev result correlation proton peak flux cme speed decrease energy correlation flare intensity show opposite behavior furthermore correlation cme speed strong correlation flare intensity mev weak mev exclude flux enhancement interplanetary shock small significant change observe correlation peak flux mev cme speed', 'role turbulence coronal heating solar wind expansion plasma sun hot corona expand heliosphere supersonic highly magnetize solar wind paper provide overview current understanding corona heat solar wind accelerate recent model magnetohydrodynamic turbulence progress point successfully predict observed property complex multi scale system clear heating open field region come mainly dissipation turbulent fluctuation launch solar surface chaotic magnetic carpet low corona energize system magnetic reconnection help pin physic review key observational result ultraviolet spectroscopy collisionless outer corona']"
1,7567,1_brane_string_gauge_theory,"['brane', 'string', 'gauge', 'theory', 'supergravity', 'supersymmetric', 'duality', 'loop', 'superconformal', 'supersymmetry']","['supersymmetric bubble solution present new supersymmetric solution type iib supergravity solution supergravity dual conformal field theory dimension supersymmetry dual conformal quantum mechanic supercharge construction include solution supergravity non compact internal space dual dimensional superconformal field theory couple point like defect present new bubble type solution correspond bps state conformal theory preserve supersymmetry', 'exactly stable non bps spinor heterotic string theory tori consider heterotic string theory compactifie torus dimension stability non supersymmetric state study non supersymmetric state robust stability construct exact stability prove large region moduli space possible decay mechanism allow charge conservation t duality transform matrix translate selection rule conserve charge simple problem resemble partition parity integer heterotic string complete list bps atom elementary excitation study bps non bps molecule bind energy string string duality result interpret term dirichlet brane type iia string theory compactifie orbifold limit surface', 'gauge string duality superconformal deformation super yang mills theory analyze detail relation exactly marginal deformation sym leigh strassler beta deformation string theory dual recently construct hep compare energy semiclassical string anomalous dimension gauge theory operator scalar sector stress existence integrable structure side duality particular argue integrability string x imply integrability deformed world sheet theory real deformation parameter compare fast string limit worldsheet action sector angular momenta continuum limit coherent state action anisotropic xxz spin chain describe loop anomalous dimension correspond operator find remarkable agreement value deformation parameter discuss property bethe ansatz spin chain solve bethe equation small number excitation comment high loop property dilatation operator goal go lead order t hooft expansion derive analog bethe equation string theory coincide thermodynamic limit bethe equation spin chain compute j correction anomalous dimension operator large r charge correspond string angular momentum j match loop correction fast string energy result suggest impressive agreement gauge theory semiclassical string x large picture underlie gauge gravity duality']"
2,6908,2_bose_condensate_superfluid_trap,"['bose', 'condensate', 'superfluid', 'trap', 'einstein', 'bec', 'vortex', 'gas', 'fermi', 'lattice']","['superfluid bose glass transition weakly interact bose gas study dimensional bose gas spatially correlate disorder zero temperature extend density phase bogoliubov method analyze particular decay body density matrix behaviour bogoliubov excitation phase boundary observe transition bose glass phase mark power law divergence density state low energy measure localization length display power law energy dependence region exponent equal boundary draw phase diagram superfluid insulator transition limit small interaction strength', 'vortex dynamic trap bose einstein condensate perform numerical simulation vortex motion trap bose einstein condensate solve dimensional gross pitaevskii equation presence simple phenomenological model interaction condensate finite temperature thermal cloud zero temperature trajectory single centre vortex precessing condensate vortex antivortex pair orbit trap excite acoustic emission finite temperature vortex edge condensate vanish fit finite trajectory relate phenomenological damp parameter friction coefficient describe interaction quantise vortex normal fluid superfluid helium', 'quantize vortex superfluid helium atomic bose einstein condensate article review recent development physics quantize vortex superfluid helium atomic bose einstein condensate quantize vortex appear low temperature quantum condense system direct product bose einstein condensation quantize vortex discover superfluid study primary focus quantum hydrodynamic system discovery superfluid quantize vortex characteristic anisotropic superfluid study theoretically observe experimentally rotate cryostat realization atomic bose einstein condensation open new possibility possible control directly visualize condensate quantize vortex historically idea develop superfluid import field cold atom utilize effectively review summarize current understanding quantize vortex bridge superfluid helium atomic bose einstein condensate review article begin basic introduction follow discussion modern topic quantum turbulence vortex unusual cold atom condensate']"
3,6866,3_graphene_bilayer_nanoribbon_layer,"['graphene', 'bilayer', 'nanoribbon', 'layer', 'electronic', 'dirac', 'graphite', 'edge', 'electron', 'monolayer']","['graphene metal surface gap opening n doping graphene grow metal surface boron buffer layer study time principle calculation reveal charge transfer copper substrate graphene bn buffer layer result n dope graphene absence gate voltage importantly gap ev comparable typical narrow gap semicondutor open ev fermi level dirac point fermi level easily shift inside gap graphene semiconductor crucial graphene base electronic device graphene base p n junction realize graphene eptaxially grow metal surface', 'electronic structure minimum conductance graphene layer density functional method effect substrate graphene film investigate realistic computationally convenient energy optimize model substrate support layer graphene electronic band calculate density functional method model substrate provide estimate substrate charge effect behaviour band near variation equilibrium distance graphene sheet model wavy graphene layer examine possible candidate understand nature minimally conduct state graphene', 'spatial corrugation bonding single layer graphene topographic scanning tunneling microscopy stm image epitaxial single layer graphene surface reveal extend single crystalline graphene domain produce defect large scale high resolution imaging show structure result lattice mismatch substrate graphene highly corrugate contain region additional spatial modulation supercell compare previously report graphene graphene area correspond bridge region structure appear depression stm image indicate strong orbital hybridization graphene layer metallic substrate valence band photoemission confirm strong hybridization graphene lead pronounced corrugation graphene layer finding underline importance consider substrate effect epitaxially grow graphene layer design graphene base nanoscale system']"
4,4817,4_graph_vertex_edge_subgraph,"['graph', 'vertex', 'edge', 'subgraph', 'hypergraph', 'chromatic', 'color', 'tree', 'minimum', 'cycle']","['exclude pair graph graph set graph induced subgraph isomorphic member give integer graph set graph admit vertex set partition subset subgraph induce f result following pair h graph disjoint union graph complement disjoint union graph exist integer graph similar idea short proof result final result construction show graph edge pair integer r exist graph induce subgraph admit', 'maximum number vertex critically embed graph define boundary point graph embed euclidean plane vertex incident edge paper consider graph embed euclidean plane finite number boundary point simple geometric condition impose sum unit vector edge extend non boundary vertex equal zero graph critical graph ask maximise number vertex critical graph give size boundary main result paper sharp upper bind maximum number vertex planar critical graph degree non boundary vertex', 'characterization free graph provide complete structural characterization free graph free graph consist small graph vertex family planar graph contain n nonisomorphic graph order describe free graph use graph graph embeddable plane hamilton edge lie path subject appropriate connectivity condition graph precisely graph rooted correspond vertex bipartition free graph outerplanar ii union graph possibly edge iii obtain free graph replace edge set satisfy certain condition graph']"
5,4758,5_estimator_regression_bayesian_estimation,"['estimator', 'regression', 'bayesian', 'estimation', 'inference', 'likelihood', 'nonparametric', 'lasso', 'variable', 'selection']","['oracle inequality optimal inference group sparsity consider problem estimate sparse linear regression vector gaussian noise model purpose prediction model selection assume prior knowledge available sparsity pattern set variable partition prescribe group relevant estimation process group sparsity assumption suggest consider group lasso method means estimate establish oracle inequality prediction estimation error estimator bound hold restrict eigenvalue condition design matrix strong coherence condition derive bound estimation error mixed result imply threshold version group lasso estimator select sparsity pattern high probability prove rate convergence upper bound optimal minimax sense logarithmic factor estimator class group sparse vector furthermore establish low bound prediction estimation error usual lasso estimator result demonstrate group lasso achieve improvement prediction estimation property compare lasso', 'wavelet penalize likelihood estimation generalized functional model paper deal generalized functional regression aim estimate influence covariate observation draw exponential distribution link consider semiparametric expression interested functional influence covariate authorize model linearly consider generalize partially linear regression model unknown regression coefficient unknown nonparametric function present maximum penalize likelihood procedure estimate component model introduce penalty base wavelet estimator asymptotic rate estimate parametric nonparametric model give quasi minimax optimality obtain usual condition literature establish particular lasso penalty lead adaptive estimation respect regularity estimate function algorithm base backfitting fisher scoring propose implementation simulation illustrate finite sample behaviour include comparison kernel spline base method', 'asymptotic composite estimation composition methodology current literature mainly promote estimation efficiency direct composition initial estimator objective function paper composite estimation investigate estimation efficiency bias reduction end novel method propose utilize regression relationship initial estimator value model independent parameter asymptotic sense result estimator small limiting variance initial estimator nonparametric regression estimation fast convergence rate classical optimal rate corresponding initial estimator achieve simulation carry examine performance finite sample situation']"
6,4695,6_galaxy_halo_redshift_stellar,"['galaxy', 'halo', 'redshift', 'stellar', 'formation', 'merger', 'mass', 'luminosity', 'dark', 'lyman']","['evolution halo mass isolated galaxy sdss measure evolution virial mass light ratio virial stellar mass ratio isolated l galaxy combine datum galaxy redshift survey sloan digital sky survey utilize motion satellite galaxy isolated galaxy measure line sight velocity dispersion derive dark matter halo virial mass host galaxy epoch velocity dispersion satellite correlate host galaxy stellar mass relation satellite velocity dispersion host galaxy b band luminosity grow somewhat shallow evolution display bimodality insofar host galaxy stellar mass h maintain constant ratio intrinsic increase constrain factor host galaxy h experience factor increase virial stellar mass ratio result easily understand galaxy stellar mass scale continue form star star formation galaxy scale quench dark matter halo galaxy scale grow accordance lcdm cosmological simulation host galaxy red u b color large satellite dispersion reside average massive halo blue galaxy redshift host galaxy stellar mass dependence agree qualitatively millennium run semi analytic model galaxy formation abridge', 'halo model good constraint conditional luminosity function measured galaxy statistic summary conditional luminosity function clf luminosity distribution galaxy dark matter halo fundamental building block present empirical model galaxy distribution model prediction compare publish luminosity function cluster statistic sloan digital sky survey sdss low redshift galaxy correlation function survey redshift survey redshift unity great observatory deep origin survey good redshift comparison statistical measurement allow constrain certain parameter relate analytical description describe relation dark matter halo central galaxy luminosity satellite galaxy luminosity fraction late type galaxy halo single parameter well constrain cluster measurement total satellite galaxy luminosity average halo mass distribution probe galaxy sample sdss sit good z sit quantity fraction satellite galaxy give galaxy luminosity strongly constrain sdss datum use clfs establish probability distribution halo mass galaxy give luminosity find halo center satellite finally help establish property galaxy distribution propose measurement cross clustering galaxy divide distinctly different luminosity bin', 'property galaxy group sdss dependence colour star formation morphology halo mass large galaxy group catalogue construct sdss investigate correlation galaxy property halo mass split population galaxy early type late type intermediate type base colour specific star formation rate fix luminosity early type fraction increase increase halo mass importantly mass dependence smooth persist entire mass range probe break feature mass scale argue previous claim characteristic feature galaxy group scale artefact environment estimator fix halo mass luminosity dependence type fraction surprisingly weak galaxy type depend strongly halo mass luminosity find early type fraction decrease increase halo centric radius contrary previous study find radial dependence present low mass halo property satellite galaxy strongly correlate central galaxy particular early type fraction satellite significantly high halo early type central galaxy halo mass late type central galaxy phenomenon galactic conformity present halo mass satellite luminosity finally fraction intermediate type galaxy percent independent luminosity independent halo mass independent halo centric radius independent galaxy central galaxy satellite galaxy discuss implication finding galaxy formation evolution']"
7,4207,7_dark_universe_cosmological_cosmology,"['dark', 'universe', 'cosmological', 'cosmology', 'phantom', 'energy', 'matter', 'gravity', 'scalar', 'quintessence']","['scale dark energy dimensional bounce cosmological model consider dimensional ricci flat bounce cosmological model dimensional induced matter contain component late time cold dark matter dark energy find arbitrary function contain solution play similar role potential quintessence phantom dark energy model resolve coincidence problem generally believe scale stage evolution universe analyze condition stage hyperbolic form function work property find scaling stage dark energy behave like identical cold dark matter adiabatic sound speed pressure dark energy negative transition deceleration acceleration happen prediction model agree current observation', 'cosmological anisotropy non comoving dark matter dark energy consider cosmological model major fluid component universe dark energy dark matter flow distinct velocity cosmological configuration equivalent single anisotropic fluid expand velocity appropriate combination fluid velocity energy density single cosmological fluid large sum energy density perfect fluid dark energy dark matter respectively contain correction term anisotropy generate difference velocity furthermore gravitational field equation fluid anisotropic cosmological model obtain bianchi type geometry assume non comoving motion dark energy dark matter induce small perturbation homogeneous isotropic friedmann lemaitre robertson walker type cosmological background anisotropy parameter small equation cosmological perturbation non comoving nature major component obtain time evolution metric perturbation explicitly obtain case exponential power law background cosmological expansion slight difference velocity dark energy dark matter universe acquire anisotropic characteristic geometry deviate standard flrw fact recent planck result presence intrinsic large scale anisotropy universe exclude priori model present work consider plausible viable work hypothesis', 'new equation state dark energy contemporary cosmology dark energy model perfect fluid have simple equation state pressure proportional dark energy density alternative propose complex equation state pressure function variable dark energy density matter density size universe consequence new equation late time universe cosmological scale factor linear function time standard cosmology predict exponential new equation state allow attribute temperature physical vacuum temperature proportional acceleration expansion universe vacuum temperature decrease expansion universe approach reach absolute zero']"
8,3007,8_group_subgroup_finitely_automorphism,"['group', 'subgroup', 'finitely', 'automorphism', 'conjugacy', 'finite', 'free', 'abelian', 'hyperbolic', 'nilpotent']","['morse theory conjugacy class finite subgroup construct group contain finitely present subgroup infinitely conjugacy class finite order element unlike previous example base right angle artin group ambient group contain rank free abelian subgroup construct example group type inside mapping class group infinitely conjugacy class finite order element', 'end subgroup graph free group cyclic edge group consider end word hyperbolic group fundamental group graph free group cyclic edge group fundamental group surface contain finitely generate end subgroup infinite index corollary hold limit group obtain characterisation surface boundary free group equip peripheral structure', 'cyclic subgroup separability free product group commute subgroup let g free product group b commute subgroup h k b let c class finite group class finite p group derive description c separable cyclic subgroup g provide group residually c group prove particular b finitely generate nilpotent group h k free factor cyclic subgroup g separable class finite p group statement true provide b free h k cyclic']"
