Topic,Count,Name,Representation,Representative_Docs
-1,327333,-1_theory_field_model_system,"['theory', 'field', 'model', 'system', 'star', 'result', 'space', 'study', 'function', 'galaxy']","['test color charge mass dependence parton energy loss heavy light ratio rhic lhc ratio nuclear modification factor high pt heavy flavor meson light flavor hadron heavy light ratio nucleus nucleus collision test partonic mechanism expect underlie jet quenching heavy light ratio mainly sensitive mass color charge dependence medium induce parton energy loss assess potential identify effect d b meson production rhic lhc end supplement perturbative qcd factorize formalism lead hadron production radiative parton energy loss d meson spectra high experimentally accessible transverse momentum pt gev pb pb collision lhc find charm quark behave essentially like light quark light flavor hadron yield dominate gluon parent heavy light ratio d meson sensitive probe color charge dependence parton energy loss contrast large b quark mass medium modification b meson kinematical regime provide sensitive test mass dependence parton energy loss rhic energy strategy identify disentangle color charge mass dependence parton energy loss involved small kinematical range accessible argue rhic kinematical regime well suit analysis d meson pt gev study low transverse momenta complicated know dominant contribution additional particle specie dependent non perturbative effect', 'distinguish z signature little higgs model collider recent proposal identify higgs particle standard model pseudo nambu goldstone boson new broken symmetry introduce new particle new interaction new interaction central role new physics play new heavy neutral gauge boson study new neutral current little higgs model compare extended model high energy collider present clear signature new neutral gauge boson indicate theoretical origin particle previous analysis author collider energy equal new gauge boson mass paper asymmetry fermion antifermion production display model difference case hard photon energy distribution gamma f anti f present model dependence high energy hard photon energy distribution clear signature new neutral gauge boson new bound new neutral gauge boson mass present', 'signature large scale structure high energy gamma ray sky diffuse extragalactic gamma ray emission trace large scale structure universe peculiar anisotropy pattern expect gamma ray sky particular cutoff distance introduce absorption tev photon infrared optical background prominent correlation local structure range hundred mpc present provide detailed prediction signal base pscz map local universe use mock n body catalogue complement halo model structure study statistical feature expected signature result largely independent cosmological detail depend index correlation bias source respect large scale distribution galaxy instance predict signal case quadratic correlation happen dark matter annihilation contribution diffuse gamma flux differ substantially linear correlation case provide complementary tool unveil nature source diffuse gamma ray emission chance present future space ground base observatory measure feature discuss']"
0,4230,0_decay_cp_branching_meson,"['decay', 'cp', 'branching', 'meson', 'babar', 'asymmetry', 'penguin', 'belle', 'fraction', 'collect']","['evidence measurement branching fraction search direct cp violation present evidence b d penguin dominate decay significance standard deviation respectively result base sample million bbbar decay collect babar detector pep ii asymmetric energy collider slac measure branching fraction x x x uncertainty statistical systematic respectively upper limit branching fraction confidence level present improved measurement charge average branching fraction x cp violate charge asymmetry uncertainty statistical systematic respectively', 'measurement cp violate asymmetry decay present preliminary measurement cp violate asymmetry decay result obtain data sample decay collect babar detector pep ii asymmetric energy factory slac time dependent maximum likelihood fit measure mixing induce cp violation parameter direct cp violation parameter error statistical second systematic', 'evidence cp violation psi decay present measurement branching fraction time dependent cp asymmetry psi decay base million event collect babar detector slac pep ii asymmetric energy b factory measure cp asymmetry parameter measure value s standard deviation zero include systematic uncertainty branching fraction determined psi']"
1,3279,1_channel_relay_network_wireless,"['channel', 'relay', 'network', 'wireless', 'capacity', 'user', 'receiver', 'interference', 'mimo', 'node']","['mimo broadcast channel block diagonalization finite rate feedback block diagonalization linear precode technique multiple antenna broadcast downlink channel involve transmission multiple datum stream receiver multi user interference experience receiver low complexity scheme operate db away capacity require accurate channel knowledge transmitter difficult obtain fade scenario consider limited feedback system receiver know channel perfectly transmitter provide finite number channel feedback bit receiver random vector quantization argument quantify throughput loss imperfect channel knowledge function feedback level quality channel knowledge improve proportional snr order prevent interference limitation scale number feedback bit linearly system snr sufficient maintain bound rate loss finally investigate simple scalar quantization scheme see achieve scaling behavior vector quantization', 'capacity bound lattice cod star relay network half duplex wireless network lateral node transmitter receiver central relay consider transmitter wish send information corresponding receiver phase communication protocol receiver decode desire message information signal receive relay derive outer bind capacity region phase protocol achievable region employ different relaying strategy particular combine physical network layer cod advantage interference relay example lattice base code specialize result exchange rate show snr achieve bit upper bind lattice coding bit good strategy high snr lattice coding bit upper bound', 'distribute space time block code mimo multiple access channel work multiple transmit antenna multiple access channel consider construction family distribute space time code channel propose channel information transmitter assume user allow cooperate show propose code achieve diversity multiplexe tradeoff channel example consider user mimo mac channel simulation result significant gain offer new cod scheme compare orthogonal transmission scheme time sharing']"
2,3210,2_pulsar_ray_psr_pulse,"['pulsar', 'ray', 'psr', 'pulse', 'outburst', 'radio', 'neutron', 'kev', 'millisecond', 'timing']","['x ray emission old pulsar present timing spectral analysis thexmm newton datum myr old nearby radio pulsar observation reveal pulsation x ray flux pulsar radio period pulse shape pulse fraction apparently different low high energy observed kev energy range suggest radiation explain single emission mechanism x ray spectrum pulsar fit power law model photon index isotropic luminosity erg s kev well fit obtain component power law plus thermal model index erg s power law component presumably originate pulsar magnetosphere thermal component dominate kev interpret radiation heated polar cap neutron star surface cover hydrogen atmosphere infer effective temperature radius bolometric luminosity polar cap mk m erg optical x ray nonthermal spectrum pulsar describe single power law index component x ray fit ratio nonthermal x ray kev luminosity nonthermal optical luminosity range observe young pulsar suggest magnetospheric x ray optical emission power mechanism pulsar upper limit temperature bulk neutron star surface infer optical x ray datum mk analyze x ray observation old pulsar', 'integral detection pulsar wind nebula psr communicate detection soft kev gamma ray pulsar pulsar wind nebula psr aim identify component system responsible gamma ray emission pinpoint source gamma ray emission combine spectral information integral gamma ray mission archival datum chandra x ray observatory analysis show soft gamma ray detect psr include emission pulsar pulsar wind nebula measured spectral shape dominate pulsar wind nebula discuss psr context rotation power pulsar high magnetic field strength review anomalously high fraction spin luminosity convert gamma ray emission light possible overestimate distance pulsar', 'xmm newton set record straight x ray emission detect psr pulsar psr discover radio search einstein x ray source error circle detection sinusoidal modulation asca lightcurve period radio pulsar appear confirm association x ray source pulsar x ray spectrum say similar middle aged gamma ray pulsar geminga xmm newton observation psr field analysis vla datum confirm timing position pulsar discrepancy location x ray source pulsar object x ray source appear counterpart star detect xmm newton optical monitor period detect area pulsar bright x ray source upper limit x ray luminosity relation empirically observe correlation radio measure de dt x ray luminosity discuss']"
3,3146,3_dark_universe_cosmological_quintessence,"['dark', 'universe', 'cosmological', 'quintessence', 'energy', 'phantom', 'cosmology', 'matter', 'acceleration', 'scalar']","['new equation state dark energy contemporary cosmology dark energy model perfect fluid have simple equation state pressure proportional dark energy density alternative propose complex equation state pressure function variable dark energy density matter density size universe consequence new equation late time universe cosmological scale factor linear function time standard cosmology predict exponential new equation state allow attribute temperature physical vacuum temperature proportional acceleration expansion universe vacuum temperature decrease expansion universe approach reach absolute zero', 'constraint dark energy equation state recent supernova datum measurement suggest universe substantial dark energy component recent datum type ia supernovae dark energy density good agreement measurement dark energy assume cosmological constant examine extent datum constraint general equation state dark energy', 'unified description dark energy dark matter dark energy universe assume vacuum energy energy momentum vacuum describe scale dependent cosmological constant equation motion imply density matter dust sum usual matter density luminous matter additional matter density dark matter similar dark energy scale dependent cosmological constant give exponent approximate experimentally decide density parameter dark matter dark energy yield dark matter dark energy time imply explanation coincidence dark matter dark energy final state universe dark consist dark matter dark energy']"
4,3064,4_graphene_graphite_nanoribbon_bilayer,"['graphene', 'graphite', 'nanoribbon', 'bilayer', 'edge', 'layer', 'electronic', 'dirac', 'zigzag', 'conductivity']","['epitaxial graphene graphene oxide junction essential step epitaxial graphene electronic graphene oxide flake deposit bridge gap epitaxial graphene electrode produce graphene device electrical measurement indicate presence schottky barrier sb graphene graphene oxide junction consequence band gap barrier height find ev reduce anneal imply gap tune change degree oxidation low limit mobility find rival silicon situ local oxidation pattern epitaxial graphene achieve', 'development epitaxial graphene century electronic graphene know long time recently potential electronic recognize history recall start early graphene study critical insight june bring light graphene electronic follow series proposal measurement georgia institute technology git graphene electronic research project fund intel later nsf keck foundation git group select epitaxial graphene viable route graphene base electronic seminal paper transport structural measurement epitaxial graphene publish subsequently field rapidly develop multilayer graphene discover git material consist graphene layer graphite layer electronic structure graphene currently field develop point epitaxial graphene base electronic realize distant future', 'interface state anomalous quantum oscillation graphene hybrid structure layer graphene recently show feature new physical phenomenon unconventional quantum hall effect prospect support non silicon technological platform epitaxial graphene layer graphene study extensively continuous sheet graphene possess part explore report study graphene hybrid structure bulk hybrid feature large area layer graphene interface set landau level feature relate interface find edge hybrid feature large layer graphene narrow layer graphene edge observe anomalous suppression quantum oscillation amplitude locking layer graphene fermi energy emergent chiral interface state finding demonstrate importance hybrid structure unique interface state related phenomenon deserve study']"
5,2830,5_grb_burst_afterglow_gamma,"['grb', 'burst', 'afterglow', 'gamma', 'ray', 'swift', 'prompt', 'emission', 'host', 'shock']","['jet break short gamma ray burst ii collimate afterglow grb report good evidence date jet break short gamma ray burst grb afterglow chandra swift xrt observation x ray afterglow grb combined x ray light curve break similar commonly observe swift observation long grb flat segment light curve day burst represent clear case strong energy injection external shock short grb afterglow break occur days post burst break power law decay index interpret jet break important implication model short grb require collimation afterglow jet initial opening angle degree imply total jet kinetic energy x erg combine lack jet break grb suggest wide range jet collimation short grb have collimation similar find long grb significantly low jet energy', 'grb environment rest frame second gamma ray burst redshift present discovery absorption line redshift z grb establish firm low limit redshift gamma ray burst observed duration rest frame burst duration s detailed examination peak energy event suggest likely confidence member short hard phenomenological class grb analysis optical afterglow spectrum find burst originate low hi column density sightline x grb afterglow spectrum appear weak low ionisation absorption si ii c ii previous afterglow spectra finally report discovery blue luminous star form putative host galaxy l small angular offset location optical afterglow consider implication unique grb context burst duration classification understanding grb progenitor scenario', 'observation gamma ray burst z grb grb constitute half sample gamma ray burst measure redshift great paper present temporal spectral property gamma ray burst detect localize nearly identical redshift grb grb grb span order magnitude fluence sample distinct region grb luminosity function property burst compare bulk grb population detect discuss energetic grb grb compatible epeak eiso relation discover amati et al finally compute maximum redshift burst detect address issue connect detection localization high z grb']"
6,2782,6_black_hole_horizon_entropy,"['black', 'hole', 'horizon', 'entropy', 'hawk', 'extremal', 'schwarzschild', 'quasinormal', 'thermodynamic', 'spacetime']","['quantization horizon area kerr black hole bekenstein proposal black hole equally space area spectrum quasinormal mode characteristic mode black hole obtain horizon area spectrum black hole area spectrum kerr black hole previous work inconsistent bekenstein proposal paper notice kerr black hole type resonance mode quasinormal mode qnm total transmission mode ttm total reflection mode trm resonance represent highly damp oscillation depend black hole parameter mass charge angular momentum black hole propose mode quantize black hole mode find inner outer horizon area kerr black hole equally space similar behavior find reissner nordstrom black hole', 'new theorem black hole new theorem black hole establish mass black hole depend observer horizon mass theorem state black hole neutral charge rotate horizon mass twice irreducible mass observe infinity horizon mass theorem crucial understand occurrence hawk radiation black hole radiation second law thermodynamic lose', 'lead log correction bekenstein hawk entropy bekenstein hawk entropy associate black hole undergo logarithmic correction small thermodynamic fluctuation equilibrium take account correct expression black hole entropy give k horizon area constant depend specific black hole apply result btz black hole find early anti de sitter schwarzschild reissner nordstrom black hole arbitrary spacetime dimension finally examine role conformal field theory black hole entropy correction']"
7,2654,7_estimator_regression_estimation_likelihood,"['estimator', 'regression', 'estimation', 'likelihood', 'nonparametric', 'bayesian', 'selection', 'lasso', 'procedure', 'prior']","['thresholde projection estimator functional linear model consider problem estimate regression function functional linear regression model propose new type projection estimator combine dimension reduction thresholding introduction threshold rule allow consistency broad assumption minimax rate convergence additional regularity hypothesis consider particular case sobolev space generate trigonometric basis permit easily mean square error prediction estimator derivative regression function prove estimator minimax rate convergence give particular case', 'nonparametric regression exponential family result nonparametric regression theory develop case additive noise set smooth technique include wavelet thresholding method develop show highly adaptive paper consider nonparametric regression exponential family main focus natural exponential family quadratic variance function include example poisson regression binomial regression gamma regression propose unified approach mean matching variance stabilize transformation turn relatively complicated problem nonparametric regression exponential family standard homoscedastic gaussian regression problem principle good nonparametric gaussian regression procedure apply transformed datum illustrate general methodology paper use wavelet block thresholde construct final estimator regression function procedure easily implementable theoretical numerical property estimator investigate estimator show enjoy high degree adaptivity spatial adaptivity near optimal asymptotic performance wide range besov space estimator perform numerically', 'variance estimation nonparametric regression difference sequence method consider gaussian nonparametric regression problem have unknown mean function unknown variance function article present class difference base kernel estimator variance function optimal convergence rate uniform broad functional class bandwidth fully characterize asymptotic normality establish suitable asymptotic formulation estimator achieve minimax rate']"
8,2552,8_collision_rhic_gev_centrality,"['collision', 'rhic', 'gev', 'centrality', 'rapidity', 'hadron', 'heavy', 'transverse', 'ion', 'freeze']","['resonance production collision gev rhic short live resonance provide efficient tool probe property hot dense medium produce relativistic heavy ion collision report measurement gev collision reconstruct hadronic decay channel star detector rhic mass study function minimum bias central collision spectra minimum bias interaction collision different centrality present yield ratio centrality collision find significantly low ratio minimum bias collision indicate importance hadronic interaction chemical kinetic freeze out significant non zero elliptic flow observe collision compare nuclear modification factor intermediate similar different establish baryon meson effect mass effect particle production intermediate', 'centrality dependence eta production large transverse momentum gev collision dependence transverse momentum spectra neutral pion eta meson gev c gev c respectively centrality collision measure mid rapidity phenix experiment rhic collision gev measured yield compare p p collision scale number underlie nucleon nucleon collision centrality yield ratio suppression contrast strong suppression see central collision rhic weak centrality dependence observe', 'absence suppression particle production large transverse momentum gev collision transverse momentum spectra charge hadron gev c neutral pion gev c measure mid rapidity phenix experiment rhic collision gev measured yield compare collision scale number underlie nucleon nucleon collision yield ratio suppression observe central collision rhic instead small enhancement yield high momentum particle']"
