query,id,similarity,text
quantum_field,1609.00985,0.6754522717172979,"Symmetry Enrichment in Three-Dimensional Topological Phases.   While two-dimensional symmetry-enriched topological phases ($\mathsf{SET}$s)
have been studied intensively and systematically, three-dimensional ones are
still open issues. We propose an algorithmic approach of imposing global
symmetry $G_s$ on gauge theories (denoted by $\mathsf{GT}$) with gauge group
$G_g$. The resulting symmetric gauge theories are dubbed ""symmetry-enriched
gauge theories"" ($\mathsf{SEG}$), which may be served as low-energy effective
theories of three-dimensional symmetric topological quantum spin liquids. We
focus on $\mathsf{SEG}$s with gauge group
$G_g=\mathbb{Z}_{N_1}\times\mathbb{Z}_{N_2}\times\cdots$ and on-site unitary
symmetry group $G_s=\mathbb{Z}_{K_1}\times\mathbb{Z}_{K_2}\times\cdots$ or
$G_s=\mathrm{U(1)}\times \mathbb{Z}_{K_1}\times\cdots$. Each
$\mathsf{SEG}(G_g,G_s)$ is described in the path integral formalism associated
with certain symmetry assignment. From the path-integral expression, we propose
how to physically diagnose the ground state properties (i.e., $\mathsf{SET}$
orders) of $\mathsf{SEG}$s in experiments of charge-loop braidings (patterns of
symmetry fractionalization) and the \emph{mixed} multi-loop braidings among
deconfined loop excitations and confined symmetry fluxes. From these
symmetry-enriched properties, one can obtain the map from $\mathsf{SEG}$s to
$\mathsf{SET}$s. By giving full dynamics to background gauge fields,
$\mathsf{SEG}$s may be eventually promoted to a set of new gauge theories
(denoted by $\mathsf{GT}^*$). Based on their gauge groups, $\mathsf{GT}^*$s may
be further regrouped into different classes each of which is labeled by a gauge
group ${G}^*_g$. Finally, a web of gauge theories involving $\mathsf{GT}$,
$\mathsf{SEG}$, $\mathsf{SET}$ and $\mathsf{GT}^*$ is achieved. We demonstrate
the above symmetry-enrichment physics and the web of gauge theories through
many concrete examples.
"
quantum_field,1904.04038,0.6861201265032633,"A note on unfree gauge symmetry.   We study the general structure of field theories with the unfree gauge
symmetry where the gauge parameters are restricted by differential equations.
The examples of unfree gauge symmetries include volume preserving
diffeomorphisms in the unimodular gravity and various higher spin field
theories with transverse gauge symmetries. All the known examples of the models
with unfree gauge symmetry share one common feature. They admit local
quantities which vanish on shell, though they are not linear combinations of
Lagrangian equations and their derivatives. We term these quantities as mass
shell completion functions.
  In the case of usual gauge symmetry with unconstrained gauge parameters, the
irreducible gauge algebra involves the two basic constituents: the action
functional and gauge symmetry generators. For the case of unfree gauge
symmetry, we identify two more basic constituents: operators of gauge parameter
constraints and completion functions. These two extra constituents are involved
in the algebra of unfree gauge symmetry on equal footing with action and gauge
symmetry generators.
  Proceeding from the algebra, we adjust the Faddeev-Popov (FP) path integral
quantization scheme to the case of unfree gauge symmetry. The modified FP
action involves the operators of the constraints imposed on the gauge
parameters, while the corresponding BRST transformation involves the completion
functions. The BRST symmetry ensures gauge independence of the path integral.
We provide two examples which admit the alternative unconstrained
parametrization of gauge symmetry and demonstrate that they lead to the
equivalent FP path integral.
"
quantum_field,2301.10207,0.6976192820241488,"Robustness of Gauge Digitization to Quantum Noise.   Quantum noise limits the use of quantum memory in high energy physics
simulations. In particular, it breaks the gauge symmetry of stored quantum
states. We examine this effect for abelian and nonabelian theories and
demonstrate that optimizing the digitization of gauge theories to quantum
memory to account for noise channels can extend the lifetime before complete
loss of gauge symmetry by $2-10\times$ over some other digitizations. These
constructions also allow for quantum error correction to integrate the
symmetries of quantum fields and prioritize the largest gauge violations.
"
quantum_field,1812.04716,0.6671670566717335,"Comments on One-Form Global Symmetries and Their Gauging in 3d and 4d.   We study 3d and 4d systems with a one-form global symmetry, explore their
consequences, and analyze their gauging. For simplicity, we focus on
$\mathbb{Z}_N$ one-form symmetries. A 3d topological quantum field theory
(TQFT) $\mathcal{T}$ with such a symmetry has $N$ special lines that generate
it. The braiding of these lines and their spins are characterized by a single
integer $p$ modulo $2N$. Surprisingly, if $\gcd(N,p)=1$ the TQFT factorizes
$\mathcal{T}=\mathcal{T}'\otimes \mathcal{A}^{N,p}$. Here $\mathcal{T}'$ is a
decoupled TQFT, whose lines are neutral under the global symmetry and
$\mathcal{A}^{N,p}$ is a minimal TQFT with the $\mathbb{Z}_N$ one-form symmetry
of label $p$. The parameter $p$ labels the obstruction to gauging the
$\mathbb{Z}_N$ one-form symmetry; i.e.\ it characterizes the 't Hooft anomaly
of the global symmetry. When $p=0$ mod $2N$, the symmetry can be gauged.
Otherwise, it cannot be gauged unless we couple the system to a 4d bulk with
gauge fields extended to the bulk. This understanding allows us to consider
$SU(N)$ and $PSU(N)$ 4d gauge theories. Their dynamics is gapped and it is
associated with confinement and oblique confinement -- probe quarks are
confined. In the $PSU(N)$ theory the low-energy theory can include a discrete
gauge theory. We will study the behavior of the theory with a space-dependent
$\theta$-parameter, which leads to interfaces. Typically, the theory on the
interface is not confining. Furthermore, the liberated probe quarks are anyons
on the interface. The $PSU(N)$ theory is obtained by gauging the $\mathbb{Z}_N$
one-form symmetry of the $SU(N)$ theory. Our understanding of the symmetries in
3d TQFTs allows us to describe the interface in the $PSU(N)$ theory.
"
quantum_field,2304.10042,0.6886930600876938,"Unfree gauge symmetry.   The gauge symmetry is said unfree if the gauge transformation leaves the
action functional unchanged provided for the gauge parameters are constrained
by the system of partial differential equations. The best known example of this
phenomenon is the volume preserving diffeomorphism being the gauge symmetry of
unimodular gravity (UG). Various extensions are known of the UG, including the
higher spin analogs - all with unfree gauge symmetry. Given the distinctions of
the unfree gauge symmetry from the symmetry with unrestricted gauge parameters,
the algebra of gauge transformations is essentially different. These
distinctions have consequences for all the key constituents of general gauge
theory, starting from the second Noether theorem, Hamiltonian constrained
formalism, BRST complex, and quantization. In this review article, we summarise
the modifications of general gauge theory worked out in recent years to cover
the case of unfree gauge symmetry.
"
quantum_field,1702.02027,0.680372619610242,"Quantum gauge symmetry of reducible gauge theory.   We derive the gaugeon formalism of the Kalb-Ramond field theory, a reducible
gauge theory, which discusses the quantum gauge freedom. In gaugeon formalism,
theory admits quantum gauge symmetry which leaves the action form-invariant.
The BRST symmetric gaugeon formalism is also studied which introduces the
gaugeon ghost fields and gaugeon ghosts of ghosts fields. To replace the
Yokoyama subsidiary conditions by a single Kugo-Ojima type condition the virtue
of BRST symmetry is utilized. Under generalized BRST transformations, we show
that the gaugeon fields appear naturally in the reducible gauge theory.
"
quantum_field,math-ph/0702061,0.6609473767716513,"Gauge Theory in Riem(M).   This paper has been withdrawn.
"
quantum_field,hep-ph/9807416,0.7272198962571339,"General Gauge Field Theory And Its Application.   A gauge field model, which simultaneously has strict local gauge symmetry and
contains massive general gauge bosons, is discussed in this paper. The model
has SU(N) gauge symmetry. In order to introduce the mass term of gauge fields
directly without violating the gauge symmetry of the theory, two sets of gauge
fields will be introduced into the theory. After some transformations, one set
of gauge fields obtain masses and another set of gauge fields keep massless. In
the limit $\alpha \longrightarrow 0$ or $\alpha \longrightarrow \infty$, the
gauge field model discussed in this paper will return to Yang-Mills gauge field
model. Finally, some applications of this model are discussed.
"
quantum_field,2010.07338,0.7380183606925437,"Gauge-Symmetry Violation Quantum Phase Transition in Lattice Gauge
  Theories.   Gauge symmetry plays a key role in our description of subatomic matter. The
vanishing photon mass, the long-ranged Coulomb law, and asymptotic freedom are
all due to gauge invariance. Recent years have seen tantalizing progress in the
microscopic reconstruction of gauge theories in engineered quantum simulators.
Yet, many of these are plagued by a fundamental question: When gauge symmetry
is only approximate in the quantum device, do we actually quantum-simulate a
gauge theory? Here, we answer this question in the affirmative for a paradigm
gauge theory akin to quantum electrodynamics. Analytically, we derive a
renormalized gauge symmetry that is at least exponentially accurate. Further,
numerically computing the phase diagram in the thermodynamic limit, we find
that the long-distance behavior of the gauge theory is only compromised upon
reaching a sharp quantum phase transition. This behavior is enabled by an
energy penalty term, which lends a mass to the Higgs boson to which the
coherent gauge breaking couples. Our results not only lend validity to ongoing
gauge-theory quantum simulations, they also probe the fundamental question of
how gauge symmetry could emerge in nature.
"
quantum_field,2104.09892,0.6614833299381961,"Breaking of the gauge symmetry in lattice gauge theories.   We study perturbations that break gauge symmetries in lattice gauge theories.
As a paradigmatic model, we consider the three-dimensional Abelian-Higgs (AH)
model with an N-component scalar field and a noncompact gauge field, which is
invariant under U(1) gauge and SU(N) transformations. We consider
gauge-symmetry breaking perturbations that are quadratic in the gauge field,
such as a photon mass term, and determine their effect on the critical behavior
of the gauge-invariant model, focusing mainly on the continuous transitions
associated with the charged fixed point of the AH field theory. We discuss
their relevance and compute the (gauge-dependent) exponents that parametrize
the departure from the critical behavior (continuum limit) of the
gauge-invariant model. We also address the critical behavior of lattice AH
models with broken gauge symmetry, showing an effective enlargement of the
global symmetry, from U(N) to O(2N), which reflects a peculiar cyclic
renormalization-group flow in the space of the lattice AH parameters and of the
photon mass.
"
