query,id,similarity,text
gnn_citations,1906.00554,0.6828031090511972,"Factor Graph Neural Network.   Most of the successful deep neural network architectures are structured,
often consisting of elements like convolutional neural networks and gated
recurrent neural networks. Recently, graph neural networks have been
successfully applied to graph structured data such as point cloud and molecular
data. These networks often only consider pairwise dependencies, as they operate
on a graph structure. We generalize the graph neural network into a factor
graph neural network (FGNN) in order to capture higher order dependencies. We
show that FGNN is able to represent Max-Product Belief Propagation, an
approximate inference algorithm on probabilistic graphical models; hence it is
able to do well when Max-Product does well. Promising results on both synthetic
and real datasets demonstrate the effectiveness of the proposed model.
"
gnn_citations,2303.15487,0.7054749963935979,"Knowledge Enhanced Graph Neural Networks for Graph Completion.   Graph data is omnipresent and has a wide variety of applications, such as in
natural science, social networks, or the semantic web. However, while being
rich in information, graphs are often noisy and incomplete. As a result, graph
completion tasks, such as node classification or link prediction, have gained
attention. On one hand, neural methods, such as graph neural networks, have
proven to be robust tools for learning rich representations of noisy graphs. On
the other hand, symbolic methods enable exact reasoning on graphs.We propose
Knowledge Enhanced Graph Neural Networks (KeGNN), a neuro-symbolic framework
for graph completion that combines both paradigms as it allows for the
integration of prior knowledge into a graph neural network model.Essentially,
KeGNN consists of a graph neural network as a base upon which knowledge
enhancement layers are stacked with the goal of refining predictions with
respect to prior knowledge.We instantiate KeGNN in conjunction with two
state-of-the-art graph neural networks, Graph Convolutional Networks and Graph
Attention Networks, and evaluate KeGNN on multiple benchmark datasets for node
classification.
"
gnn_citations,2001.07922,0.6869892341903991,"Get Rid of Suspended Animation Problem: Deep Diffusive Neural Network on
  Graph Semi-Supervised Classification.   Existing graph neural networks may suffer from the ""suspended animation
problem"" when the model architecture goes deep. Meanwhile, for some graph
learning scenarios, e.g., nodes with text/image attributes or graphs with
long-distance node correlations, deep graph neural networks will be necessary
for effective graph representation learning. In this paper, we propose a new
graph neural network, namely DIFNET (Graph Diffusive Neural Network), for graph
representation learning and node classification. DIFNET utilizes both neural
gates and graph residual learning for node hidden state modeling, and includes
an attention mechanism for node neighborhood information diffusion. Extensive
experiments will be done in this paper to compare DIFNET against several
state-of-the-art graph neural network models. The experimental results can
illustrate both the learning performance advantages and effectiveness of
DIFNET, especially in addressing the ""suspended animation problem"".
"
gnn_citations,1911.08795,0.660163805268668,"On Node Features for Graph Neural Networks.   Graph neural network (GNN) is a deep model for graph representation learning.
One advantage of graph neural network is its ability to incorporate node
features into the learning process. However, this prevents graph neural network
from being applied into featureless graphs. In this paper, we first analyze the
effects of node features on the performance of graph neural network. We show
that GNNs work well if there is a strong correlation between node features and
node labels. Based on these results, we propose new feature initialization
methods that allows to apply graph neural network to non-attributed graphs. Our
experimental results show that the artificial features are highly competitive
with real features.
"
gnn_citations,2111.06679,0.6859918119402131,"deepstruct -- linking deep learning and graph theory.   deepstruct connects deep learning models and graph theory such that different
graph structures can be imposed on neural networks or graph structures can be
extracted from trained neural network models. For this, deepstruct provides
deep neural network models with different restrictions which can be created
based on an initial graph. Further, tools to extract graph structures from
trained models are available. This step of extracting graphs can be
computationally expensive even for models of just a few dozen thousand
parameters and poses a challenging problem. deepstruct supports research in
pruning, neural architecture search, automated network design and structure
analysis of neural networks.
"
gnn_citations,2301.11164,0.6786156045215076,"A Graph Neural Network with Negative Message Passing for Graph Coloring.   Graph neural networks have received increased attention over the past years
due to their promising ability to handle graph-structured data, which can be
found in many real-world problems such as recommended systems and drug
synthesis. Most existing research focuses on using graph neural networks to
solve homophilous problems, but little attention has been paid to
heterophily-type problems. In this paper, we propose a graph network model for
graph coloring, which is a class of representative heterophilous problems.
Different from the conventional graph networks, we introduce negative message
passing into the proposed graph neural network for more effective information
exchange in handling graph coloring problems. Moreover, a new loss function
taking into account the self-information of the nodes is suggested to
accelerate the learning process. Experimental studies are carried out to
compare the proposed graph model with five state-of-the-art algorithms on ten
publicly available graph coloring problems and one real-world application.
Numerical results demonstrate the effectiveness of the proposed graph neural
network.
"
gnn_citations,2007.06559,0.7500202759813125,"Graph Structure of Neural Networks.   Neural networks are often represented as graphs of connections between
neurons. However, despite their wide use, there is currently little
understanding of the relationship between the graph structure of the neural
network and its predictive performance. Here we systematically investigate how
does the graph structure of neural networks affect their predictive
performance. To this end, we develop a novel graph-based representation of
neural networks called relational graph, where layers of neural network
computation correspond to rounds of message exchange along the graph structure.
Using this representation we show that: (1) a ""sweet spot"" of relational graphs
leads to neural networks with significantly improved predictive performance;
(2) neural network's performance is approximately a smooth function of the
clustering coefficient and average path length of its relational graph; (3) our
findings are consistent across many different tasks and datasets; (4) the sweet
spot can be identified efficiently; (5) top-performing neural networks have
graph structure surprisingly similar to those of real biological neural
networks. Our work opens new directions for the design of neural architectures
and the understanding on neural networks in general.
"
gnn_citations,2012.08752,0.7446855493239635,"Graph Neural Networks: Taxonomy, Advances and Trends.   Graph neural networks provide a powerful toolkit for embedding real-world
graphs into low-dimensional spaces according to specific tasks. Up to now,
there have been several surveys on this topic. However, they usually lay
emphasis on different angles so that the readers can not see a panorama of the
graph neural networks. This survey aims to overcome this limitation, and
provide a comprehensive review on the graph neural networks. First of all, we
provide a novel taxonomy for the graph neural networks, and then refer to up to
400 relevant literatures to show the panorama of the graph neural networks. All
of them are classified into the corresponding categories. In order to drive the
graph neural networks into a new stage, we summarize four future research
directions so as to overcome the facing challenges. It is expected that more
and more scholars can understand and exploit the graph neural networks, and use
them in their research community.
"
gnn_citations,2412.01176,0.7262465753470655,"Superhypergraph Neural Networks and Plithogenic Graph Neural Networks: Theoretical Foundations. Hypergraphs extend traditional graphs by allowing edges to connect multiple nodes, while superhypergraphs further generalize this concept to represent even more complex relationships. Neural networks, inspired by biological systems, are widely used for tasks such as pattern recognition, data classification, and prediction. Graph Neural Networks (GNNs), a well-established framework, have recently been extended to Hypergraph Neural Networks (HGNNs), with their properties and applications being actively studied. The Plithogenic Graph framework enhances graph representations by integrating multi-valued attributes, as well as membership and contradiction functions, enabling the detailed modeling of complex relationships. In the context of handling uncertainty, concepts such as Fuzzy Graphs and Neutrosophic Graphs have gained prominence. It is well established that Plithogenic Graphs serve as a generalization of both Fuzzy Graphs and Neutrosophic Graphs. Furthermore, the Fuzzy Graph Neural Network has been proposed and is an active area of research. This paper establishes the theoretical foundation for the development of SuperHyperGraph Neural Networks (SHGNNs) and Plithogenic Graph Neural Networks, expanding the applicability of neural networks to these advanced graph structures. While mathematical generalizations and proofs are presented, future computational experiments are anticipated."
gnn_citations,1902.10042,0.6756982212008733,"Graph Neural Processes: Towards Bayesian Graph Neural Networks.   We introduce Graph Neural Processes (GNP), inspired by the recent work in
conditional and latent neural processes. A Graph Neural Process is defined as a
Conditional Neural Process that operates on arbitrary graph data. It takes
features of sparsely observed context points as input, and outputs a
distribution over target points. We demonstrate graph neural processes in edge
imputation and discuss benefits and drawbacks of the method for other
application areas. One major benefit of GNPs is the ability to quantify
uncertainty in deep learning on graph structures. An additional benefit of this
method is the ability to extend graph neural networks to inputs of dynamic
sized graphs.
"
