Topic,Count,Name,Representation,Representative_Docs
-1,139514,-1_model_system_result_field,"['model', 'system', 'result', 'field', 'time', 'method', 'datum', 'study', 'quantum', 'function']","['edge inferno simulate observable star faint dwarf galaxy consequence resolve star photometric survey interpretation datum faint dwarf galaxy challenging observation limit bright star present major improvement tackle challenge undertake zoom cosmological simulation resolve evolution individual star massive explicitly track observable star hubble time time predict observable color magnitude diagram spatial distribution star faint dwarf galaxy directly cosmological initial condition case simulation predict complex light profile multiple component imply typical observational measure structural parameter total v band magnitude appear mag dimmer compare estimate simulation furthermore small number star observable shot noise realization color magnitude diagram introduce uncertainty comparable population scatter total magnitude half light radius mean iron abundance measurement estimate uncertainty fully self consistent mass growth star formation chemical enrichment history pave way robust interpretation dwarf galaxy datum', 'generalize correspondence analysis application machine learning correspondence analysis multivariate statistical tool visualize interpret data dependency find maximally correlate embedding pair random variable find application field range epidemiology social science current method scale large high dimensional dataset paper provide novel interpretation term information theoretic quantity call principal inertia component estimate principal inertia component consist solve functional optimization problem space finite variance function random variable equivalent perform leverage insight design novel algorithm perform unprecedented scale particularly demonstrate principal inertia component reliably approximate datum deep neural network finally maximally correlate embedding pair random variable play central role learning problem include visualization classification boundary training process underlie recent multi view multi modal learning method', 'effective resistance statistical leverage application linear equation solving recent work theoretical computer science scientific computing focus nearly linear time algorithm solve system linear equation introduce novel theoretical perspective work lead practical algorithm effort bridge gap describe paper related result main result simple algorithm approximate solution set linear equation define laplacian graph node m edge constraint matrix algorithm non recursive algorithm run time time give oracle call statistical leverage score extremely simple compute approximate solution direct solver light result second result straightforward connection concept graph resistance prove useful recent algorithm linear equation solver concept statistical leverage prove useful numerically implementable randomized algorithm large matrix problem natural data analytic interpretation']"
0,3816,0_channel_communication_wireless_network,"['channel', 'communication', 'wireless', 'network', 'mimo', 'antenna', 'user', 'interference', 'transmission', 'scheme']","['dynamic control interference limited underlay network device device communication appear key communication paradigm realize vision internet thing iot reality support heterogeneous object interconnection large scale network device type object embed intelligence communication capability smart phone car home appliance issue type communication interference cellular communication cause communication proper power control resource allocation coordinate network prevent excessive interference drastic decrease throughput cellular system paper consider problem cross layer resource allocation time vary cellular wireless network communication incorporate average interference cellular system quality service constraint specifically pair network inject packet queue rate choose order maximize global utility function subject network stability interference constraint interference constraint enforce arbitrarily low interference cellular system cause communication obtain stability region multiuser system assume node channel state information csi neighbor provide joint flow control scheduling scheme prove achieve utility arbitrarily close maximum achievable utility finally address consequence practical implementation issue distribute scheduling designing algorithm capable take advantage diversity gain introduce fade channel demonstrate efficacy policy numerical study network condition', 'mimo broadcast channel finite rate feedback multiple transmit antenna downlink channel provide tremendous capacity multiplexing gain receiver single antenna receiver transmitter channel state information generally require paper system receiver perfect channel knowledge transmitter receive quantize information channel instantiation analyze know zero force transmission technique consider simple expression throughput degradation finite rate feedback derive key finding feedback rate mobile increase linearly snr db order achieve multiplexing gain sharp contrast point point mimo system necessary increase feedback rate function snr', 'digital twin aid ris communication robust beamforming interference management reconfigurable intelligent surface riss envision play key role future wireless communication network channel estimation ris aid wireless network challenge passive nature large number reflective element lead high channel estimation overhead additionally conventional method like beam sweeping rely explicit channel state information struggle manage interference multi user network paper propose novel approach leverage digital twin dts physical environment approximate channel electromagnetic model ray tracing relax need channel estimation extensive air computation ris aid wireless network address digital twins channel approximation error refine approach dt specific robust transmission design reliably meet minimum desire rate result method secure rate time significantly outperform beam sweeping achieve rate time poor management transmit power interference']"
1,3577,1_magnetic_spin_superconductor_temperature,"['magnetic', 'spin', 'superconductor', 'temperature', 'superconductivity', 'superconducte', 'film', 'magnetization', 'transition', 'phase']","['close relationship superconductivity bosonic mode discovery high temperature superconductivity iron pnictide chalcogenide early central issue microscopic origin superconducte pairing previous experiment suggest pairing induce exchange antiferromagnetic spin fluctuation superconducte order parameter opposite sign electron hole pocket predict pair model remain unclear bosonic mode tunneling spectrum close universal relationship superconductivity spin excitation paper base measurement scan tunneling spectroscopy clear evidence bosonic mode energy identical neutron spin resonance completely different system different superconducte transition temperature sample superconducte coherence peak mode feature vanish simultaneously inside vortex core tc indicate close relationship superconductivity bosonic mode datum demonstrate universal ratio mode energy superconducte transition temperature mode underline unconventional mechanism superconductivity iron pnictide superconductor', 'temperature dependent transformation magnetic excitation spectrum approach superconductivity x ni spin excitation candidate mediate electron pair unconventional superconductor coupling superconductivity evident large number system observation abrupt redistribution magnetic spectral weight superconducte transition temperature tc energy comparable superconducte gap report inelastic neutron scatter measurement fe base superconductor x ni emphasize additional signature overall shape low energy magnetic dispersion change incommensurate vertical column t tc distinctly different u shaped dispersion low temperature importantly spectral reconstruction apparent temperature magnetic excitation involve pair mechanism surprising modification approach tc demonstrate strong interaction involve', 'thermodynamic property excess oxygen dope near simultaneous transition superconductivity long range magnetic order measure specific heat magnetization versus temperature single crystal sample superconducte sample material remove excess oxygen magnetic field deoxygenated sample subtract phonon contribution find broad peak specific heat center excess specific heat attribute fluctuation cu spin possibly enhance interplay charge degree freedom appear independent magnetic field near superconducte transition k find sharp feature strongly suppress magnetic field apply parallel crystallographic c axis model vortex fluctuation scale magnetization measure magnetic field magnetic field apply perpendicular c axis observed effect slight shift superconducte transition temperature']"
2,3081,2_liquid_polymer_fluid_droplet,"['liquid', 'polymer', 'fluid', 'droplet', 'particle', 'shear', 'granular', 'surface', 'water', 'glass']","['interplay liquid liquid ferroelectric phase transition supercoole water distinctive characteristic water evident thermodynamic anomaly implication discipline biology geophysic consider valid hypothesis rationalize unique property liquid liquid phase transition water supercoole regime nowadays observe molecular dynamic simulation actively research experimentally highlight intriguing far reach implication water ferroelectric liquid liquid phase transition design facet underlying phenomenon result base analysis extensive molecular dynamic simulation explain context classical density functional theory mean field approximation valid polar liquid theory underpin potential role ferroelectricity promote liquid liquid phase transition existence ferroelectric order supercoole low density liquid water confirm observation molecular dynamic simulation collective mode polarization fluctuation dynamic traceable spontaneous breaking continuous rotational symmetry work open door new experimental investigation static dynamic behavior water polarization', 'shear flow dense granular material near smooth wall shear localization constitutive law boundary region report numerical study shear flow simple dimensional model granular material control normal stress parallel smooth frictional wall move opposite velocity discrete simulation carry contact dynamic method dense assembly disk reveal unlike rough wall strand particle smooth one lead shear strain localization boundary layer specifically observe decrease v fluid like regime granular layer shear homogeneous strain rate near wall b symmetric velocity profile solid block middle strain localize near wall finally c state broken symmetry shear rate confine boundary layer bulk material move opposite wall transition independent system size occur specific value v transient time discuss transition regime b deduce constitutive law identify bulk material boundary layer second associate instability behavior boundary layer boundary zone constitutive law observe depend state bulk material nearby', 'effective interaction active colloid fluid interface induce marangoni flow theoretically near fluid fluid interface single active colloidal particle generating chemical temperature gradient experience effective force hydrodynamic origin force fluid flow drive marangoni stress induce activity particle decay slowly distance interface attractive repulsive depend activity modify surface tension typical system interaction dominate dynamic particle compare brownian motion dispersion force self phoretic effect attractive case interaction promote self assembly particle crystal like monolayer interface']"
3,3069,3_robot_policy_reinforcement_rl,"['robot', 'policy', 'reinforcement', 'rl', 'learning', 'environment', 'planning', 'control', 'task', 'agent']","['robot task planning probabilistic model human skill describe algorithm motion planning base expert demonstration skill order teach robot perform complex object manipulation task generalize robustly new environment learn representation effect task find optimal trajectory reproduce effect new environment represent robot skill term probability distribution feature learn multiple expert demonstration utilize skill new environment compute feature expectation trajectory sample order stochastically optimize likelihood trajectory new environment purpose method enable execution complex task base library probabilistic skill model motion combine accomplish complex task hybrid domain approach validate variety case study include android game simulate assembly task real robot experiment', 'planning control multi robot object system temporal logic task uncertain dynamic develop algorithm motion task planning system comprise multiple robot unactuated object task express linear temporal logic ltl constraint robot object evolve subject uncertain dynamic obstacle cluttered environment key propose solution intelligent construction couple transition system encode motion task robot object achieve construction design appropriate adaptive control protocol low level guarantee safe robot navigation object transportation environment compensate dynamic uncertainty transition system efficiently interface temporal logic specification sampling base algorithm output discrete path sequence synchronized action robot action satisfy robot object specification robot execute discrete path derive low level control protocol simulation result verify propose framework', 'protective policy transfer able transfer exist skill new situation key capability training robot operate unpredictable real world environment successful transfer algorithm minimize number sample robot need collect new environment prevent robot damage surround environment transfer process work introduce policy transfer algorithm adapt robot motor skill novel scenario minimize failure algorithm train control policy training environment task policy optimize complete task interest protective policy dedicate robot unsafe event fall ground decide policy use execution learn safety estimator model training environment estimate continuous safety level robot set threshold safety estimator classifier switch protective policy task policy evaluate approach simulate robot locomotion problem navigation problem method achieve successful transfer notably different environment take robot safety consideration']"
4,2868,4_language_llm_task_reasoning,"['language', 'llm', 'task', 'reasoning', 'word', 'translation', 'sentence', 'text', 'model', 'answer']","['mindmerger efficient boost llm reasoning non english language reasoning capability crucial large language model llm notable gap exist english non english language bridge disparity work fine tune llm relearn reasoning capability non english language replace non english input external model output english translation text circumvent challenge llm understand non english unfortunately method underutilize build skilled reasoning useful language understand capability llm order well utilize mind reasoning language understanding llm propose new method mindmerger merge llm external language understand capability multilingual model boost multilingual reasoning performance furthermore step training scheme introduce train embeded external capability llm train collaborative utilization external capability build capability llm experiment multilingual reasoning dataset language understand dataset demonstrate mindmerger consistently outperform baseline especially low resource language update parameter llm average accuracy improve language low resource language mgsm dataset respectively', 'evaluation token effect input length machine translation evaluation large language model accurately evaluate machine translate text remain long stand challenge particularly long document recent work show large language model llm serve reliable interpretable sentence level translation evaluator mqm error span annotation modern llm support large context window natural question arise feed entire document translation llm quality assessment ideally evaluation invariant text length produce consistent error span regardless input granularity analysis show text length significantly impact evaluation long text lead few error span reduce system rank accuracy address limitation evaluate strategy include granularity align prompting focus sentence prompt fsp fine tuning approach well align llm evaluation task method largely mitigate length bias make llm reliable long form translation evaluation', 'evaluate translation performance large language model base recent year rapid development deep learning technology large language model llm bert gpt achieve breakthrough result natural language processing task machine translation mt core task natural language processing benefit development large language model achieve qualitative leap despite significant progress translation performance achieve large language model machine translation face challenge paper construct dataset evaluate performance large language model translation task translation ability different language effect pre training datum translation ability llm researcher developer']"
5,2523,5_graph_vertex_edge_number,"['graph', 'vertex', 'edge', 'number', 'subgraph', 'color', 'tree', 'problem', 'set', 'hypergraph']","['count plane graph cross graph charging scheme study cross graph charge scheme graph draw plane charge scheme charge move vertex different graph method recently apply obtain property triangulation embed fix set point plane method generalize obtain result type graph embed plane specifically obtain new bound notation hide polynomial factor maximum number crossing free straight edge graph embed specific set point plane improve previous good upper bind hoffmann et al derive upper bound number type plane graph connect bi connected plane graph obtain bound expect vertex degree graph uniformly choose set crossing free straight edge graph embed specific point set apply cross graph charge scheme method graph allow certain type crossing specifically consider graph set pairwise cross edge commonly know planar graph prove set point plane number graph straight edge planar embed exponential', 'vertex independence number graph let graph vertex set edge set set vertex independent set vertex adjacent study maximum cardinality set contain exactly pair adjacent vertex vertex independent set vertex independence number provide case explicit formula furthermore prove tight low resp upper bind graph order extremal graph achieve equality bind fully characterise', 'tight linear bind chromatic number graph let disjoint graph union graph vertex set edge set join graph vertex set edge set paper present characterization graph prove base result prove graph construct infinite family graph graph family satisfy']"
6,2466,6_solar_plasma_magnetic_coronal,"['solar', 'plasma', 'magnetic', 'coronal', 'flare', 'field', 'cme', 'reconnection', 'flux', 'electron']","['universality solar wind turbulent spectrum mhd electron scale order investigate universality magnetic turbulence space plasma analyze seven time period free solar wind different origin slow fast different plasma condition orientation magnetic field flow velocity quasi perpendicular unique combination instrument cluster spacecraft operate different frequency range possibility resolve spectra hz spectra measure different plasma condition similar shape quasi universal spectrum consist part power law exponential domain mhd scale kolmogorov law find scale small ion characteristic scale law observe scale electron gyroradius magnetic spectrum follow exponential law indicate onset dissipation observation exponential magnetic spectrum space plasma spatial kinetic plasma scale electron larmor radius play role dissipation scale space plasma turbulence', 'production sunspot effect corona solar wind insight new flux transport dynamo model present dimensional numerical model generation evolution magnetic field solar convection zone sunspot produce contribute cyclic reversal large scale magnetic field assess impact dynamo generate field structure solar corona solar wind model solve induction equation velocity field prescribe velocity field combination solar like differential rotation meridional circulation develop algorithm enable magnetic flux produce interior buoyantly transport surface produce bipolar spot find tilt bipolar magnetic region contain sufficient flux periodically reverse polar magnetic field sustain dynamo action track evolution magnetic feature surface consecutive magnetic cycle analyze effect topology corona property solar wind distribution streamer coronal hole slow fast wind stream connection current observation sun', 'complex magnetic evolution magnetic helicity solar atmosphere solar atmosphere single system unify presence large scale magnetic field topological change magnetic field occur place consequence coronal heating eruption remote location coronal magnetic field play role transport magnetic helicity sun subphotosphere upper convection zone interplanetary space discuss observational evidence pertinent aspect solar corona global interconnect system large scale coronal heating new flux emergence eruption chromospheric filament result change magnetic topology trigger new flux emergence sunspot rotation manifestation transport helicity photosphere potential consequence distribution energy solar luminosity dynamo solar cycle variation solar irradiance']"
7,2429,7_ray_pulsar_emission_kev,"['ray', 'pulsar', 'emission', 'kev', 'agn', 'source', 'radio', 'observation', 'gamma', 'luminosity']","['broadband high energy emission redback millisecond pulsar psr present result joint xmm newton nustar observation gamma ray emit millisecond pulsar compact binary psr x ray emission kev detect joint spectrum model power law plus neutron star atmosphere model distance kpc kev luminosity erg detect day binary orbital period double peaked structure waveband combine update fermi gev datum model broadband spectral energy distribution x ray modulation intrabinary model involve shock interaction pulsar wind outflow companion star lastly report high resolution x ray image provide chandra rule propose pulsar wind nebula associate psr', 'intrinsic collective x ray spectrum luminous high mass x ray binary sample luminous erg s unabsorbed kev luminosity high mass x ray binary hmxb candidate find chandra nearby galaxy construct collective x ray spectrum hmxbs local universe unit star formation rate correct observational bias associate intrinsic diversity hmxb spectra x ray absorption interstellar medium spectrum fit power law photon index dominate ultraluminous x ray source erg hard source kev kev flux ratio dominate kev soft supersoft source flux ratio respectively low energy derive spectrum probably represent angle integrate x ray emission super critically accrete stellar mass black hole neutron star local universe provide important constraint supercritical accretion model reference spectrum calculation x ray preheating universe generation x ray binary', 'chandra observation x ray luminous star form galaxy merger report result chandra observation x ray luminous star form galaxy detect discrete x ray source luminosity kev band contribute total galactic emission band remain emission associate diffuse component spatially coincident region widespread star formation detect x ray emission nucleus discrete source complex nuclear region ngc find hard spectrum associate origin agn like spectrum detect high x ray energy beppo sax']"
8,2403,8_curve_variety_projective_bundle,"['curve', 'variety', 'projective', 'bundle', 'conjecture', 'genus', 'smooth', 'galois', 'surface', 'modulus']","['simpson correspondence singular variety positive characteristic main aim paper provide analogue simpson correspondence singular projective variety define algebraically closed field characteristic main case case consider analogue numerically flat vector bundle big open subset normal projective variety arbitrary singularity introduce s fundamental group scheme quasi projective variety admit compactification complement codimension prove group scheme coincide s group scheme regular locus small projective compactification particular provide new invariant normal projective variety isomorphic codimension second case consider vector bundle integrable normal projective variety liftable modulo case restrict variety singularity analogous log canonical singularity prove semistable higgs vector bundle regular locus appropriately define vanish chern class admit canonical higg de rham flow provide analogue result greb kebekus taji peternell finally application obtain result variety define characteristic zero', 'moduli space semistable sheaf singular genus curve find equivalence derive category coherent sheaf gorenstein genus curve preserve pure dimensional sheaf establish new identification certain simpson modulus space semistable sheaf curve rank zero modulus space symmetric power curve whilst fix positive rank finite number non isomorphic space prove similar result relative semistable modulus space arbitrary genus fibration condition base total space cycle projective line unique degree stable sheaf line bundle have degree irreducible component sheave support irreducible component prove connected component modulus space contain vector bundle rank isomorphic symmetric product rational curve node', 'motif hodge conjecture modulus space pair let smooth projective curve genus fix pair consist algebraic vector bundle rank degree section concept stability pair depend real parameter let modulus space pair rank degree prove generic curve moduli space satisfy hodge conjecture n obtain prove motivate']"
