Topic,Count,Name,Representation,Representative_Docs
-1,594741,-1_model_system_datum_result,"['model', 'system', 'datum', 'result', 'time', 'quantum', 'base', 'method', 'study', 'approach']","['numerical analysis order computational algorithm reaction diffusion equation primal dual hybrid gradient method order optimization algorithm introduce solve time implicit scheme reaction diffusion equation research conduct theoretical study order algorithm equip quadratic regularization term provide sufficient condition propose algorithm time continuous limit converge exponentially fast desire time implicit numerical solution theoretically numerically convergence rate independent grid size make method suitable large scale problem efficiency algorithm verify series numerical example conduct type reaction diffusion equation choice optimal hyperparameter comparison classical root find algorithm discuss numerical section', 'explainable artificial intelligence improved modeling process modern business process datum collect increase substantially recent year datum potentially yield valuable insight automated knowledge extraction base process mining propose technique provide user intuitive access information contain present majority technology aim reconstruct explicit business process model directly interpretable limited concern integration diverse real value information source hand machine learning ml benefit vast datum available deal high dimensional source rarely apply process contribution evaluate capability modern transformer architecture classical ml technology modeling process regularity quantitatively evaluate prediction capability addition demonstrate capability attentional property feature relevance determination highlight feature crucial process predictive ability demonstrate efficacy approach benchmark dataset ml model capable predict critical outcome attention mechanism xai component offer new insight underlying process', 'cost effective federated learning design federated learning fl distribute learning paradigm enable large number device collaboratively learn model share raw datum despite practical efficiency effectiveness iterative device learning process incur considerable cost term learn time energy consumption depend crucially number select client number local iteration training round paper analyze design adaptive fl optimally choose essential control variable minimize total cost ensure convergence theoretically analytically establish relationship total cost control variable convergence upper bind efficiently solve cost minimization problem develop low cost sampling base algorithm learn convergence relate unknown parameter derive important solution property effectively identify design principle different metric preference practically evaluate theoretical result simulated environment hardware prototype experimental evidence verify derive property demonstrate propose solution achieve near optimal performance dataset different machine learning model heterogeneous system setting']"
0,8891,0_graph_vertex_edge_subgraph,"['graph', 'vertex', 'edge', 'subgraph', 'color', 'hypergraph', 'coloring', 'digraph', 'minimum', 'conjecture']","['distance edge monitor number graph foucaud et al discrete appl math recently introduce initiate study new graph theoretic concept area network monitoring set vertex edge graph let set pair x vertex vertex vertex let set edge exist vertex x v set vertex graph distance edge monitoring set edge monitor vertex set nonempty distance edge monitor number graph denote define small size distance edge monitor set vertex represent distance probe network model edge fail distance increase able detect failure turn detect correctly locate fail edge paper continue study edge monitor set particular upper low bound respectively extremal graph attain bound characterize characterize graph', 'irregular subgraph suggest related conjecture deal existence span irregular subgraph graph assert graph vertex contain span subgraph number vertex degree deviate second graph vertex minimum degree contain span subgraph number vertex degree exceed conjecture remain open prove asymptotic relaxation graph large number vertex particular n graph vertex contain span subgraph number vertex degree prove graph vertex minimum degree contain span subgraph degree repeat time', 'conjecture graph let path vertex graph say contain induced subgraph know conjecture state graph minimum degree cycle length power paper graph minimum degree contain cycle length imply conjecture true graph']"
1,8737,1_spin_magnetic_topological_hall,"['spin', 'magnetic', 'topological', 'hall', 'insulator', 'magnetization', 'antiferromagnetic', 'ferromagnetic', 'semimetal', 'weyl']","['room temperature quantum spin hall edge state high order topological insulator room temperature realization macroscopic quantum phenomena major pursuit fundamental physic quantum spin hall state topological quantum phenomenon feature dimensional insulate bulk helical edge state realize room temperature use scan tunneling microscopy visualize quantum spin hall edge state surface high order topological insulator find atomically resolve lattice exhibit large insulate gap atomically sharp monolayer step edge host strike gap gapless state suggest topological bulk boundary correspondence external magnetic field gap edge state consistent time reversal symmetry protection inherent underlie topology identify geometrical hybridization edge state attest topology quantum spin hall state visualize building block high order topological insulator phase remarkably insulate gap topological edge state observe persist result point realization room temperature quantum spin hall edge state high order topological insulator', 'molecular beam epitaxy growth dope modulation topological semimetal study high quality thin film topological semimetal phase prepare molecular beam epitaxy mbe technique confirm x ray diffraction pronounce laue oscillation electrical transport experiment reveal thick film property similar bulk material employ co deposition introduce magnetic non magnetic element growth thin film significantly alter electrical property notably magnetic element cr induce long range ferromagnetic ordering lead observation significant anomalous hall effect thin film hall conductivity remain nearly constant curie temperature indicate correlation intrinsic topological nature band structure theoretical principle band calculation support generation weyl semimetal state material magnetic doping finding pave way explore magnetic weyl semimetal material relate low dimensional quantum device base topological semimetal material', 'progress prospect magnetic topological material magnetic topological material represent class compound property strongly influence topology electronic wavefunction couple magnetic spin configuration material support chiral electronic channel perfect conduction array application information storage control dissipationless spin charge transport review theoretical experimental progress achieve field magnetic topological material begin theoretical prediction quantum anomalous hall effect landau level lead recent discovery magnetic weyl semimetal antiferromagnetic topological insulator outline recent theoretical progress result tabulation time magnetic symmetry group representation topology describe experiment realize chern insulator weyl dirac magnetic semimetal array axionic high order topological phase matter survey future perspective']"
2,8442,2_solar_plasma_flare_coronal,"['solar', 'plasma', 'flare', 'coronal', 'magnetic', 'cme', 'reconnection', 'flux', 'sun', 'wind']","['solar wind datum analysis aid synthetic modeling well understanding plasma frame variation temporal datum situ measurement solar wind turbulent anisotropic plasma flow originate sun carry single spacecraft result dimensional time series conversion measurement spatial frame plasma great challenge require direct comparison measurement mhd turbulence theory present toolkit base synthetic modeling solar wind fluctuation dimensional noise map adjustable spectral power anisotropy help temporal spatial conversion real datum specifically follow spacecraft trajectory noise map relative velocity angle relative mean magnetic field property tune mimic solar wind likelihood temporal data fluctuation represent parallel perpendicular fluctuation plasma frame quantify correlate structure function noise map synthetic temporal datum generate provide testing ground analysis apply solar wind datum demonstrate tool investigate parker solar probe trajectory datum showcase possible way find temporal variation spacecraft frame come parallel perpendicular variation plasma frame strongly depend spectral power anisotropy measured wind datum analysis assist underlie synthetic model present open new way interpret measurement future specifically reliable determination plasma frame quantity temporal measurement', 'signature coronal hole substructure solar wind combine solar orbiter remote sensing situ measurement context sun complex corona source solar wind interplanetary magnetic field large scale morphology understand impact variation coronal property scale degree property interplanetary medium know solar orbiter carry remote sensing situ instrument inner solar system intend connection well aim combine remote sensing situ measurement solar orbiter perihelion au study fine scale structure solar wind equatorward edge polar coronal hole aim identify characteristic corona explain situ variation method use situ measurement magnetic field density solar wind speed identify structure scale hour spacecraft potential field source surface mapping estimate source location measured solar wind function time use eui image characterise solar source result identify small scale stream interaction solar wind compressed magnetic field density speed variation associate corrugation edge coronal hole scale degree demonstrate fine scale coronal structure directly influence solar wind property drive variation individual stream conclusion early analysis demonstrate power solar orbiter combine remote sensing situ payload show future close perihelia possible dramatically improve knowledge coronal source fine scale solar wind structure important understand phenomena drive solar wind predict impact earth', 'explore solar wind source corona inner heliosphere solar orbiter parker solar probe quadrature letter address solar orbiter parker solar probe psp quadrature occur january investigate evolution solar wind extend corona inner heliosphere assume ballistic propagation plasma volume observe remotely corona altitude solar radius solar limb metis coronagraph track psp orbit au allow local property solar wind link coronal source region originate thank close approach psp sun simultaneous metis observation solar corona flow align magnetic field bulk kinetic energy flux density empirically infer coronal current sheet unprecedented accuracy allow particular estimation radius solar radius time event study solar wind plasma expand sub solar corona surface']"
3,6795,3_random_stochastic_brownian_walk,"['random', 'stochastic', 'brownian', 'walk', 'percolation', 'sde', 'equation', 'process', 'probability', 'convergence']","['central limit type theorem large deviation principle multi scale mckean vlasov sde paper aim study asymptotic behavior multi scale mckean vlasov stochastic dynamical system firstly obtain central limit type theorem deviation slow component solution average equation converge weakly limiting process precisely converge weakly solution certain distribution dependent stochastic differential equation involve extra explicit stochastic integral term secondly order estimate probability deviation away limiting process investigate freidlin wentzell large deviation principle multi scale mckean vlasov stochastic system main technique base poisson equation central limit type theorem weak convergence approach large deviation principle', 'evolution time fractional stochastic hyperbolic diffusion equation unit sphere paper examine temporal evolution stage stochastic model spherical random field model use time fractional stochastic hyperbolic diffusion equation describe evolution spherical random field time diffusion operator incorporate time fractional derivative caputo sense stage model homogeneous problem consider isotropic gaussian random field serve initial condition second stage model transition inhomogeneous problem drive time delay brownian motion solution model express series real spherical harmonic obtain approximation expansion solution truncate certain degree analysis truncation error reveal convergence behavior show convergence rate affect decay angular power spectra drive noise initial condition addition investigate sample property stochastic solution demonstrate condition exist local continuous modification solution illustrate theoretical finding numerical example simulation inspire cosmic microwave background cmb present', 'scale limit critical percolation cluster hyperbolic random half planar triangulation associate random walk gromov hausdorff prohorov scale limit critical percolation cluster random hyperbolic triangulation half plane brownian continuum random tree corollary obtain simple random walk critical cluster rescale brownian motion continuum random tree']"
4,5023,4_decay_meson_quark_charm,"['decay', 'meson', 'quark', 'charm', 'qcd', 'tetraquark', 'baryon', 'lhcb', 'branching', 'pion']","['perturbative qcd analysis neutral decay decay denote light scalar meson quark picture study perturbative qcd approach base factorization reference value mix angle mixing quark flavor basis great interest obtain neutral decay large branching ratio order mean possibly constructive interference exist decay different flavor state expect test large hadron collider beauty belle ii experiment near future b large direct cp violation easily find decay indicate considerable interference tree penguin decay amplitude involve mode confront future measurement c neutral decay examine secondary decay chain body decay body decay detect relevant experiment identify clearly', 'update search decay charm meson datum set correspond integrated luminosity proton proton collision collect lhcb experiment analyse search decay decay fully partially reconstruct miss neutral pion photon decay excited charm meson allow upper limit branching fraction normalise decay final state similar topology obtain fourteen decay mode decay excess significance standard deviation find', 'study excite state chiral quark model stimulate newly observe charge hide charm state besiii collaboration excited state lhcb collaboration calculation include mass decay width emerge chiral quark model state assign quantum number quark composition accord experiment state systematically investigation perform body body system tetraquark calculation take structure include meson meson diquark antidiquark possible color configuration account numerical technique solve body body equation spatial wave function expand series gaussian basis function high precision way gaussian expansion method call result indicate low lie state quark system high correspond threshold system help real scaling method find resonance state mass mev mev system state consistent mass decay width recent observe state system resonance state find newly observe excited state accommodate chiral quark model state mixing quark state need consider']"
5,4752,5_epidemic_infection_pandemic_disease,"['epidemic', 'infection', 'pandemic', 'disease', 'spread', 'outbreak', 'vaccination', 'sir', 'infectious', 'vaccine']","['optimal mitigation sir epidemic model uncertainty study impact model parameter uncertainty optimally mitigate spread epidemic capture epidemic spread process susceptible infect remove sir epidemic model consider testing isolation control strategy use testing strategy remove isolate portion infected population goal maintain daily infected population certain level minimize total number test distinct exist work leverage control strategy epidemic spreading propose testing strategy overestimate seriousness epidemic study feasibility system impact model parameter uncertainty compare optimal testing strategy establish propose strategy model parameter uncertainty flatten curve effectively require test long time period', 'population scale testing suppress spread infectious disease major advance public health result disease prevention prevention new infectious disease vaccination pharmaceutical difficult slow process vaccine drug development propose additional intervention allow rapid control emerge infectious disease eradicate disease rely exclusively human human transmission intervention base test individual disease repeatedly isolation infected individual sufficient rate testing reproduction number reduce epidemic rapidly collapse approach rely strong unrealistic assumption test accuracy isolation compliance population structure epidemiological parameter success monitor real time follow test positivity rate addition compliance rate false negative require rate testing depend design testing regime concurrent testing outperform random sampling provide result obtain rapidly test frequency require suppress epidemic monotonic near linear respect infectious period fraction susceptible individual testing regime effective early phase established epidemic additive intervention contact trace social distancing robust failure rate testing reduce number infection improve public health economic condition conclusion base rigorous analysis simulation appropriate epidemiological model mass produce disposable test home ideal optimal performance concurrent test return immediate result', 'feedback sir fsir model highlight advantage limitation infection dependent mitigation strategy transmission rate epidemic outbreak vary time depend societal response non pharmacological mitigation strategy social distancing adoption protective equipment aim precisely reduce transmission rate reduce infectious contact investigate effect mitigation strategy evolution epidemic nonlinear transmission rate influence level infection death recovery include variant classical sir model class model particularly relevant epidemic population behavior affect unprecedented abundance rapid distribution global infection death datum online platform manuscript revisit sir model reduction transmission rate knowledge infection mean field approach assume individual behave like molecule mixed solution derive time vary reproduction number depend infection information negative feedback term equivalent holle type ii function ecology michaelis menten function chemistry molecular biology step step derivation model provide overview method qualitative analysis show negative feedback structurally reduce peak infection time feedback substantially extend duration epidemic computational simulation agree analytical prediction suggest infection peak reduction persist presence information delay mitigation strategy linearly proportional infection single parameter add sir model make useful illustrate effect infection dependent social distancing']"
6,4542,6_higgs_boson_lepton_lhc,"['higgs', 'boson', 'lepton', 'lhc', 'neutrino', 'tev', 'dark', 'sm', 'decay', 'mass']","['measurement associate production higgs boson decay vector boson high transverse momentum collision tev atlas detector associated production higgs boson boson decay lepton higgs boson decay pair measure high vector boson transverse momentum regime gev atlas detector analysed datum correspond integrated luminosity collect proton proton collision large hadron collider centre mass energy tev measured signal strength define ratio measured signal yield predict standard model correspond observed expect significance standard deviation cross section associated production higgs boson decay quark pair gauge boson decay lepton measure exclusive vector boson transverse momentum region gev gev interpret constraint anomalous coupling framework standard model effective field theory', 'constraint anomalous higgs boson coupling vector boson fermion production higgs boson final state study anomalous coupling higgs boson vector boson fermion present datum record cms experiment center mass energy pp collision lhc tev correspond integrated luminosity study use higgs boson candidate produce mainly gluon fusion electroweak vector boson fusion lhc subsequently decay pair lepton matrix element machine learn technique employ search anomalous interaction result combine lepton photon decay channel yield stringent constraint anomalous higgs boson coupling date pure scenario higgs boson couple gluon exclude standard deviation result consistent standard model prediction', 'impact new experimental datum strong interdependence lhc higg datum electron edm complex higgs doublet model simple extension standard model source cp violation scalar sector symmetry softly break complex coefficient way implement symmetry fermion sector lead model know type type ii lepton specific flip model priori surprising possibility gev higgs boson couple scalar quark couple pseudoscalar quark maximal scenario possible datum available datum gev higgs boson direct search cp violation angular correlation produce higgs boson decay new result electron electric dipole moment new constraint lhc search additional higgs boson new result s transition highlight crucial importance physics result lhc run combine experiment maximal scenario exclude model pseudoscalar component h coupling lepton specific case large scalar component mass ordering neutral scalar boson']"
7,4363,7_curvature_manifold_ricci_riemannian,"['curvature', 'manifold', 'ricci', 'riemannian', 'hypersurface', 'metric', 'soliton', 'compact', 'flow', 'einstein']","['classification metric manifold tensor paper present classification metric manifold special flatness condition tensor examine metric manifold consider condition riemannian curvature tensor r ricci curvature tensor s obtain classification metric manifold', 'geometry dimensional manifold positive scalar curvature purpose paper derive volume geometric information dimensional complete manifold positive scalar curvature case ricci curvature nonnegative show volume manifold linear growth scalar curvature bound positive constant answer question gromov affirmative dimension volume growth estimate obtain case scalar curvature decay zero fact result similar nature establish general case ricci curvature asymptotically nonnegative', 'optimal asymptotic volume ratio noncompact manifold asymptotically nonnegative ricci curvature uniformly positive scalar curvature lower bound paper study dimensional complete non compact riemannian manifold asymptotically nonnegative ricci curvature uniformly positive scalar curvature lower bind main result manifold end finite betti number linear volume growth furthermore negative ricci curvature decay sufficiently fast infinity optimal asymptotic volume ratio particular result apply dimensional complete non compact riemannian manifold nonnegative ricci curvature uniformly positive scalar curvature lower bind']"
8,4180,8_graphene_bilayer_twisted_band,"['graphene', 'bilayer', 'twisted', 'band', 'valley', 'electronic', 'angle', 'nanoribbon', 'electron', 'magic']","['tunable van hove singularity correlate state twisted trilayer graphene understanding tune correlate state great interest significance modern condense matter physics recent discovery unconventional superconductivity mott like insulate state magic angle twisted bilayer graphene tblg present unique platform study correlation phenomena coulomb energy dominate quench kinetic energy result hybridize flat band extend approach case twisted multilayer graphene allow high control band structure reduce symmetry system study electronic transport property twisted trilayer graphene ttlg bilayer monolayer graphene heterostructure observe formation van hove singularity highly tunable twist angle displacement field cause strong correlation effect optimum condition include superconducte state provide basic theoretical interpretation observed electronic structure', 'twisted bilayer graphene fabricate direct bonding high vacuum twisted bilayer graphene tbg monolayer graphene stack plane rotation angle recently hot topic unique electronic structure tbg normally produce air tear stack method mechanical exfoliation transfer graphene flake sizable millimeter order area importantly clean interface layer hard obtain study resolve problem directly transfer easy exfoliate cvd grow graphene sic substrate graphene high vacuum transfer assist medium observed electronic band modulation strong interlayer coupling', 'spin valley polarize multiple fermi surface graphene heterostructure report transport property graphene heterostructure carrier doping induce work function difference result distinct electron hole population bilayer graphene respectively comprehensive analysis multi channel transport signature include hall measurement quantum oscillation unveil significant band modification system particular observe emergence spin valley polarize multiple hole type fermi pocket originate spin selective band hybridization bilayer graphene break spin degree freedom unlike graphene system presence different hybridization strength graphene layer lead asymmetric behavior layer confirm effective mass experiment result manifestation valley polarize fermi pocket compelling finding establish proximitize bilayer graphene outstanding platform engineer unique low energy band structure']"
