Topic,Count,Name,Representation,Representative_Docs
-1,85697,-1_model_field_theory_result,"['model', 'field', 'theory', 'result', 'mass', 'system', 'energy', 'equation', 'quantum', 'space']","['black hole formation friedmann universe formulation computation numerical relativity study formation black hole friedmann universe present formulation einstein equation constant mean curvature time slicing condition formalism give analytic solution perturbation equation non linear density metric fluctuation superhorizon scale allow carry numerical relativity simulation black hole formation scale density fluctuation hubble horizon scale perform numerical simulation spherically symmetric black hole formation radiation dominate spatially flat background universe realistic initial condition supply analytic solution find initial metric perturbation non linear maximum value conformal factor large black hole form threshold amplitude black hole formation final black hole mass considerably depend initial density metric profile perturbation threshold value formation black hole small high density peak surround low density region surround average density region flat universe suggest necessary account spatial correlation density fluctuation study primordial black hole formation', 'variational quark mass expansion order parameter chiral symmetry break investigate detail variational mass expansion approach generalize similar construction develop gross neveu model evaluate basic order parameter dynamical breaking chiral symmetry qcd method start reorganization ordinary perturbation theory addition arbitrary quark mass new perturbative series sum order thank renormalization group property specific boundary condition advocate analytic continuation property approximation explicit breakdown chiral symmetry small current quark mass neglect derive ansatze dynamical contribution constituent mass u d quark pion decay constant quark condensate q q term basic qcd scale ansatze optimize sense specify explicit symmetry break mass term consistently introduce framework obtain value roughly agreement expect non perturbative method contrast obtain small value q q approach possible interpretation result briefly discuss', 'dynamic symmetry break frw cosmology emergence scaling dynamic symmetry break phase transition study radiation matter dominate spatially flat frw cosmology large n limit scalar field quantum density matrix evolve initial state quasiparticle thermal equilibrium temperature high critical cosmological expansion decrease temperature trigger phase transition identify different time scale early regime dominate linear instability exponential growth long wavelength fluctuation intermediate scale field fluctuation probe broken symmetry state asymptotic scale scaling regime emerge mode wavelength comparable large scale regime characterize dynamical physical correlation length size causal horizon correlate region causal horizon inside correlate region field fluctuation sample broken symmetry state amplitude long wavelength fluctuation non perturbatively large early time instability semiclassical stochastic description emerge asymptotic regime scaling regime power spectrum peak zero momentum reveal onset bose einstein scaling solution result equation state scalar field background fluid imply harrison zeldovich spectrum scalar density perturbation long wavelength discuss correction scale universality scaling solution difference similarity classical non linear sigma model']"
0,3314,0_brane_string_theory_duality,"['brane', 'string', 'theory', 'duality', 'supergravity', 'heterotic', 'type', 'iib', 'action', 'gauge']","['u duality p brane diverse dimension u duality p brane toroidally compactifie type ii superstring theory space time dimension d construct explicitly base conjecture u duality symmetry corresponding know single charge super p brane configuration concrete example construct explicitly superstring z brane correspond magnetic dual d superstring brane characterize triplet integer correspond electric like magnetic like charge associate form gauge potential present theory brane brane label pair triplet integer correspond electric like magnetic like charge associate set form gauge potential string brane tension central charge show give invariant expression argue integer integral triplet relatively prime correspond string brane stable decay multiple string brane tension gap charge gap equation similar result hold brane brane alongwith dyonic membrane izquierdo et al example provide support conjecture z u duality symmetry theory study example previous one provide recipe construct u duality p brane supergravity theory diverse dimension construction u duality p brane give', 'interaction brane string theory theory consider brane configuration theory compute interaction potential graviton membrane brane compare result interaction brane brane brane brane iia string theory find agreement approach brane interaction brane brane discrepancy note case zero brane', 'brane open type string theory construct brane open type string theory method construct non bps brane type string theory propose theory s dual bosonic string theory compactifie lattice spinor state excited state fundamental string state correspond brane requirement state correspond state remove determine way truncation spectrum result support conjecture']"
1,2483,1_jet_parton_diffractive_hera,"['jet', 'parton', 'diffractive', 'hera', 'pomeron', 'gluon', 'inelastic', 'qcd', 'production', 'section']","['diffractive production jet weak boson test hard scatter factorization extract diffractive parton density datum diffractive deep inelastic scattering dis diffractive photoproduction jet explore result ansaetze functional form parton density use fit parton density predict diffractive production jet w z p pbar collision tevatron fit photoproduction datum require large gluon density pomeron prediction tevatron cross section substantially high datum signal breakdown hard scatter factorization diffractive hadron hadron collision', 'measurement qcd analysis jet cross section deep inelastic positron proton collision gev jet production study breit frame deep inelastic positron proton scattering large range momentum transfer transverse jet energy gev analysis base datum correspond integrated luminosity take year detector hera center mass energy gev dijet inclusive jet cross section measure multi differentially angular order jet algorithm result compare prediction perturbative qcd calculation lead order strong coupling constant fit perform alpha gluon density proton determine separately gluon density find good agreement result obtain analysis datum different process strong coupling constant determined addition analysis datum alpha gluon density determine simultaneously present', 'diffractive hard photoproduction hera evidence gluon content pomeron inclusive jet cross section event large rapidity gap respect proton direction reaction ep jet quasi real photon measure zeus detector cross section refer jet transverse energy datum characteristic diffractive process mediate pomeron exchange assume event exchange pomeron partonic structure quark gluon content pomeron probe scale comparison measurement model prediction base qcd plus regge phenomenology require contribution parton hard momentum density pomeron combine analysis jet cross section recent zeus measurement diffractive structure function deep inelastic scattering give experimental evidence gluon content pomeron diffractive hard scattering process datum indicate momentum pomeron carry parton hard gluon']"
2,2133,2_neutrino_oscillation_solar_atmospheric,"['neutrino', 'oscillation', 'solar', 'atmospheric', 'neutrinos', 'mix', 'mixing', 'mass', 'experiment', 'sterile']","['neutrino mass spectrum oscillation atmospheric neutrinos consider standard spectrum active neutrino characterize strong mass hierarchy small mixing additional sterile neutrino sterile neutrino mix strongly muon neutrino oscillation solve atmospheric neutrino problem parametric enhancement oscillation occur high energy atmospheric neutrino cross core earth relevant anomaly observe macro experiment solar neutrino convert heavy neutrino compose hot dark matter universe phenomenology scenario elaborate crucial experimental signature identify discuss property underlie neutrino mass matrix', 'phenomenology neutrino oscillation review focus neutrino mix neutrino oscillation light recent experimental development discuss possible type neutrino mix dirac majorana neutrino consider detail phenomenology neutrino oscillation vacuum matter review exist evidence indication favour neutrino oscillation obtain atmospheric solar lsnd experiment present result analysis neutrino oscillation datum framework mix massive neutrino investigate possibility test different neutrino mass mix scheme obtain way discuss briefly future neutrino oscillation experiment', 'neutrino physic present lecture follow topic consider general property neutrinos neutrino mass phenomenology dirac majorana mass neutrino mass simple extension standard model include seesaw mechanism neutrino oscillation vacuum neutrino oscillation matter msw effect flavour scheme implication cp t cpt symmetrie neutrino oscillation double beta decay solar neutrino oscillation solar neutrino problem atmospheric neutrinos short overview result accelerator reactor neutrino experiment future project finally discuss available experimental datum neutrino mass lepton mixing summarize phenomenologically allow form neutrino mass matrix']"
3,2085,3_decay_meson_cp_heavy,"['decay', 'meson', 'cp', 'heavy', 'semileptonic', 'quark', 'violation', 'penguin', 'inclusive', 'ckm']","['hadronic decay b meson review recent experimental result hadronic decay lifetime hadron contain b c quark discuss charm counting semileptonic branching fraction b decay color suppress amplitude b decay search gluonic penguin b decay', 'test standard model cp violation b system review subject cp violation meson system standard model cp violation base complex phase cabibbo kobayashi maskawa ckm matrix kind cp nonconservation study mixing mixed neutral decay state common decay product direct decay charge meson measurement certain cp asymmetry show determine angle ckm unitarity triangle measure cleanly uncertainty penguin amplitude determination asymmetry eliminate bad case estimate relate rate process decay rate involve light pseudoscalar angle measure charge decay provide color suppression strong certain rescattere effect decay light pseudoscalar large', 'b decay cp violation review status theory phenomenology heavy quark symmetry exclusive weak decay meson inclusive decay rate lifetime hadron cp violation decay']"
4,1908,4_hubbard_superconductor_superconducte_superconductivity,"['hubbard', 'superconductor', 'superconducte', 'superconductivity', 'cuprate', 'gap', 'temperature', 'pseudogap', 'dope', 'spin']","['superconductivity band hubbard model infinite dimension study band hubbard model limit infinite dimension combination analytical method monte carlo technique normal state find display metal insulator transition function doping interaction strength derive self consistent equation local green function presence superconducte long range order extend previous algorithm case present direct numerical evidence specific range parameter space normal state unstable superconducte state characterize strongly frequency dependent order parameter', 'superconductivity toy model pseudogap state analyze superconducte state s d wave simple exactly solvable model pseudogap state induce short range order fluctuation antiferromagnetic base model fermi surface hot patch show superconducte energy gap average fluctuation non zero temperature large mean field superconducte transition sample temperature t superconductivity apparently exist separate region drop study spectral density density state demonstrate superconductivity signal t special happen point view anomaly qualitative agreement number experiment underdoped cuprate', 'conjecture microscopic theory high temperature superconductivity base experimental result previous theoretical work microscopic theory high temperature superconductivity conjecture conjecture superconducte antiferromagnetic long range order drive interlayer coupling strictly dimension microscopic hubbard model resonate valence bond insulator metal transition x near optimal doping zero temperature lead quantum critical point crossover line give pseudogap temperature argue singular non fermi liquid property observe near optimal doping presence quantum critical point conjecture crossover line practically divide superconducte region depend doping level respect x superconducte state significant antiferromagnetic correlation x virtually antiferromagnetic correlation justify conventional bcs theory base noninteracting electron inelastic neutron scatter resonance systematically reduce superfluid density superconducte state natural explanation present scenario present approach support interlayer pair tunneling model superconducte condensation energy come lowering c axis kinetic energy superconducte state comparison present scenario lead theory base hubbard t model give generic feature hole dope electron dope cuprate heavy fermion superconductor understand unify framework present picture']"
5,1673,5_variety_curve_bundle_projective,"['variety', 'curve', 'bundle', 'projective', 'surface', 'smooth', 'modulus', 'rational', 'divisor', 'prove']","['vanish theorem universal covering projective variety article contain new argument prove vanishing cohomology negative vector bundle complex projective variety rank bundle small dimension base similar argument apply construction holomorphic function universal covering complex projective variety', 'projective bundle singular plane cubic classification theory study projective variety cover rational curve minimal degree naturally lead study family singular rational curve family arbitrarily singular curve hard handle show previous paper exist partial resolution singularity transform bundle possibly badly singular curve bundle nodal cuspidal plane cubic case interest classification theory total space bundle clearly projective generally false arbitrary bundle plane cubic globally projective reason question projectivity interest present work give characterization projective bundle', 'relative bogomolov inequality cone positive divisor modulus space stable curve let f x y projective morphism smooth algebraic variety algebraically closed field characteristic zero dim f let e vector bundle rank r paper like smooth semistable point y y f weakly positive apply result obtain follow description cone weakly positive divisor modulus space stable curve let resp moduli space stable resp smooth curve genus g let h hodge class boundary class q cartier divisor x h weakly positive x g x g x']"
6,1494,6_collision_ion_heavy_pion,"['collision', 'ion', 'heavy', 'pion', 'sps', 'dilepton', 'production', 'plasma', 'transverse', 'energy']","['energy atomic mass dependence nuclear stopping power relativistic heavy ion collision interact gluon model present monte carlo simulation energy deposition process relativistic heavy ion collision base new realization interact gluon model igm high energy n collision particular result proton spectra collision gev beam incident target analyze energy mass dependence nuclear stopping power predict model theoretical prediction proton rapidity distribution collision gev cern sps bnl rhic give', 'medium effect high energy heavy ion collision change hadron property dense matter base theoretical approach review incorporate medium effect relativistic transport model treat consistently change hadron mass energy dense matter scalar vector field heavy ion collision energy available sis gsi ag bnl sps cern study model see provide satisfactory explanation observed enhancement kaon antikaon antiproton yield soft pion transverse direction sis experiment ags heavy ion experiment account enhance ratio difference slope parameter transverse kinetic energy spectra lower apparent temperature antiproton proton model provide possible explanation observed enhancement low mass dilepton phi meson antilambda heavy ion collision sps energy furthermore change hadron property hot dense matter lead new signature quark gluon plasma hadronic matter transition future ultrarelativistic heavy ion collision rhic bnl', 'result single particle correlation measurement central collision single particle spectra particle correlation function measure collaboration central collision gev nucleon present measurement study kinetic chemical freeze condition heavy ion collision conclude large baryon stopping high baryon density strong transverse radial flow achieve central collision sps']"
7,1462,7_star_globular_cluster_age,"['star', 'globular', 'cluster', 'age', 'dwarf', 'metallicity', 'abundance', 'fe', 'stellar', 'ngc']","['age difference globular cluster sub population ngc age difference main globular cluster sub population virgo giant elliptical galaxy ngc m determine hst image filter accurate photometry obtain globular cluster main sub population magnitude turn luminosity function allow precise determination mean color turn magnitude main sub population compare datum population synthesis model age metallicity pair fit observed color magnitude identify metal poor metal rich globular cluster find coeval error gyr accept validity assumption error dominate model uncertainty systematic error gyr affect result blue red cluster significantly different mass distribution sub population half old exclude confidence level different globular cluster population assume trace galaxy major star formation episode consequently vast majority globular cluster implication majority star ngc form high redshift distinct mechanism episode', 'spectroscopy candidate young globular cluster ngc present spectra bright member population compact blue object discover peculiar galaxy ngc holtzman et al hubble space telescope image spectra strong balmer absorption line like observe type star expect object young globular cluster age estimate strength balmer line gyr age range gyr gyr confidently exclude give current model stellar population estimate age adopt young cluster population ngc fading predict stellar population model give luminosity function consistent galactic globular cluster system convolve observational selection function ngc system use equivalent width mg fe feature constrain metallicity young cluster combine absorption line width age estimate balmer line stellar population model find metallicity roughly solar base mg index somewhat high fe index radial velocity absorption line cluster spectrum offset emission line galaxy spectrum position provide evidence identification object globular cluster open future possibility study kinematic young cluster system discovery object characteristic young globular cluster ngc show evidence recent interaction merger support hypothesis galaxy interaction merger favorable site formation globular cluster', 'age metallicitie globular cluster ngc derive age metallicitie co add spectra globular cluster associate giant elliptical galaxy ngc base calibration galactic globular cluster find sample globular cluster ngc span metallicity range approximately fe h dex evidence radial metallicity gradient globular cluster system steep see underlie starlight determination absolute age globular cluster uncertain formally metal poor population globular cluster age gyr metal rich population gyr old monte carlo simulation indicate globular cluster population present datum old gyr confidence level find uncertainty globular cluster old coeval imply bimodality see broadband colour primarily reflect metallicity age difference']"
8,1246,8_spin_heisenberg_chain_antiferromagnet,"['spin', 'heisenberg', 'chain', 'antiferromagnet', 'antiferromagnetic', 'ladder', 'gap', 'peierl', 'magnetization', 'phase']","['non magnetic impurity spin gap system effect non magnetic impurity discuss leg heisenberg ladder system spin liquid excitation gap show random depletion spin introduce random berry phase term non linear sigma model classical nature antiferromagnetic correlation enhance topological decoherence stagger susceptibility show singular behavior low temperature uniform antiferromagnetic heisenberg chain', 'haldane gap hidden order antiferromagnetic quantum spin chain investigate haldane conjecture isotropic antiferromagnetic quantum spin chain near neighbor exchange density matrix renormalization group algorithm chain spin find thermodynamic limit finite spin gap delta finite spin spin correlation length xi lattice spacing establish ground state energy bond ground state hide topological order reveal nonlocal string correlation function mean physics chain capture valence bond solid description observe effective free state end open chain', 'thermodynamic quantum heisenberg spin chain thermodynamic property quantum heisenberg spin chain s investigate transfer matrix renormalization group method temperature dependence magnetization susceptibility specific heat spin spin correlation length physical quantity zero finite applied field calculate compare datum agree bethe ansatz exact diagonalization quantum monte carlo result provide insight quantum effect antiferromagnetic heisenberg spin chain']"
